show,collection_id,pct_sentences_dropped,pct_tokens_dropped,flagged
The Warning with Steve Schmidt,1681586867,0.1299486980931178,0.1827370019598387,True
Mea Culpa,1714009198,0.14475370341893484,0.1763836915009434,True
The Buck Sexton Show,1208232103,0.08348165098737181,0.11740518397323131,False
Newt's World,1452065072,0.09461992046441468,0.11320189368969857,False
Hood Politics with Prop,1493858530,0.0766370832333893,0.11075784312194513,False
The Focus Group Podcast,1586423406,0.0859504132231405,0.10878701107716955,False
Countdown with Keith Olbermann,1633301179,0.0743913201474329,0.10298064753754707,False
Breaking Points with Krystal and Saagar,1570045623,0.07235500448649972,0.0955632037709027,False
The Lincoln Project,1551582052,0.06559091067507755,0.09415235771849165,False
The Bulwark Podcast,1447684472,0.04287364492624845,0.07164951000576464,False
This Week with George Stephanopoulos,91959525,0.05695266272189349,0.06924063256874198,False
The Mona Charen Show,1482179882,0.04565687396667938,0.0662540062106644,False
The Next Level,1647085571,0.04110090251239938,0.06417929242719476,False
Politics War Room with James Carville & Al Hunt,1484862164,0.03170986423621001,0.05720873722498693,False
The Al Franken Podcast,1462195742,0.03278293939248062,0.05642763320705869,False
Runaway Country with Alex Wagner,1408796715,0.03776987426739468,0.055769471855579636,False
All In with Chris Hayes,1314170606,0.053575805107592765,0.05533234328205526,False
Fast Politics with Molly Jong-Fast,1645614328,0.028809823677581864,0.05045541591669837,False
The 47 Morning Update with Ben Ferguson,1790957194,0.048596730845486186,0.05035893126028645,False
System Update with Glenn Greenwald,1669610956,0.056461319619214356,0.048356195407997744,False
The 11th Hour with Ali Velshi,1314368109,0.04192755438059459,0.04376111035142896,False
The Chris Cuomo Project,1635418897,0.03190635168828974,0.042182125161738256,False
The MeidasTouch Podcast,1510240831,0.042201490200989296,0.04216556911862933,False
Opening Arguments,1147092464,0.021923546866817942,0.041988587280536324,False
The Ben Ferguson Podcast,1386375601,0.03871740287386908,0.041651834647362135,False
The Beat with Ari Melber,1364113251,0.038925199709513435,0.03999675303111924,False
#SistersInLaw,1551206847,0.03755725190839695,0.039599570809054734,False
The Skepticrat,969924303,0.020466981329100707,0.03959854081636402,False
Deadline: White House,1367201919,0.043466131012163824,0.039083927591881513,False
NBC Nightly News with Tom Llamas,75462585,0.03251208841814414,0.038838424107841454,False
Bulwark Takes,1794450472,0.03529358667689669,0.038627448337220115,False
The Breakdown,1722246285,0.025819916517590937,0.0376396793263987,False
The Briefing with Jen Psaki,1692806415,0.03774076002082249,0.03631756443408932,False
The Fox News Rundown,1303660358,0.03659874155746695,0.03618431795173247,False
