model,k,n_seeds,cosine_mean,cosine_std,jaccard_mean,jaccard_std
LDA,20,5,0.6522863359333992,0.033965767502968404,0.3614480090593294,0.020666169708845557
TLDA,20,5,0.9866660969207428,0.0020722998355525695,0.8869038208168643,0.019548759854774833
