guest_key,display_name,n_candidates,reason
cooke|matthew|matthew,Matthew Cooke,31,"name too common in DIME donor pool (n=31 same-name individuals, no recipient/candidate match) -- not search-tractable"
wasserman|jacob|jacob,Jacob Wasserman,26,"name too common in DIME donor pool (n=26 same-name individuals, no recipient/candidate match) -- not search-tractable"
parker|benjamin|ben,Ben Parker,97,"name too common in DIME donor pool (n=97 same-name individuals, no recipient/candidate match) -- not search-tractable"
baer|h|h david,H. David Baer,38,"name too common in DIME donor pool (n=38 same-name individuals, no recipient/candidate match) -- not search-tractable"
condon|edward|ed,Ed Condon,28,"name too common in DIME donor pool (n=28 same-name individuals, no recipient/candidate match) -- not search-tractable"
swift|james|jim,Jim Swift,91,"name too common in DIME donor pool (n=91 same-name individuals, no recipient/candidate match) -- not search-tractable"
goldberg|jeffrey|jeffrey,Jeffrey Goldberg,85,"name too common in DIME donor pool (n=85 same-name individuals, no recipient/candidate match) -- not search-tractable"
galloway|scott|scott,Scott Galloway,31,"name too common in DIME donor pool (n=31 same-name individuals, no recipient/candidate match) -- not search-tractable"
shapiro|daniel|dan,Dan Shapiro,140,"name too common in DIME donor pool (n=140 same-name individuals, no recipient/candidate match) -- not search-tractable"
zimmer|thomas|thomas,Thomas Zimmer,42,"name too common in DIME donor pool (n=42 same-name individuals, no recipient/candidate match) -- not search-tractable"
hoover|margaret|margaret,Margaret Hoover,53,"name too common in DIME donor pool (n=53 same-name individuals, no recipient/candidate match) -- not search-tractable"
mccoy|elizabeth|elizabeth,Elizabeth McCoy,88,"name too common in DIME donor pool (n=88 same-name individuals, no recipient/candidate match) -- not search-tractable"
dillon|timothy|tim,Tim Dillon,70,"name too common in DIME donor pool (n=70 same-name individuals, no recipient/candidate match) -- not search-tractable"
robinson|tyler|tyler,Tyler Robinson,35,"name too common in DIME donor pool (n=35 same-name individuals, no recipient/candidate match) -- not search-tractable"
clark|alexander|alex,Alex Clark,161,"name too common in DIME donor pool (n=161 same-name individuals, no recipient/candidate match) -- not search-tractable"
carroll|ian|ian,Ian Carroll,25,"name too common in DIME donor pool (n=25 same-name individuals, no recipient/candidate match) -- not search-tractable"
mann|jessica|jessica,Jessica Mann,28,"name too common in DIME donor pool (n=28 same-name individuals, no recipient/candidate match) -- not search-tractable"
horton|scott|scott,Scott Horton,48,"name too common in DIME donor pool (n=48 same-name individuals, no recipient/candidate match) -- not search-tractable"
tate|andrew|andrew,Andrew Tate,43,"name too common in DIME donor pool (n=43 same-name individuals, no recipient/candidate match) -- not search-tractable"
jones|alexander|alex,Alex Jones,195,"name too common in DIME donor pool (n=195 same-name individuals, no recipient/candidate match) -- not search-tractable"
martin|wesley|wesley,Wesley Martin,64,"name too common in DIME donor pool (n=64 same-name individuals, no recipient/candidate match) -- not search-tractable"
smith|zack|zack,Zack Smith,52,"name too common in DIME donor pool (n=52 same-name individuals, no recipient/candidate match) -- not search-tractable"
hannah|john|john,John Hannah,77,"name too common in DIME donor pool (n=77 same-name individuals, no recipient/candidate match) -- not search-tractable"
homan|thomas|tom,Tom Homan,21,"name too common in DIME donor pool (n=21 same-name individuals, no recipient/candidate match) -- not search-tractable"
carter|brian|brian,Brian Carter,201,"name too common in DIME donor pool (n=201 same-name individuals, no recipient/candidate match) -- not search-tractable"
stein|jeff|jeff,Jeff Stein,32,"name too common in DIME donor pool (n=32 same-name individuals, no recipient/candidate match) -- not search-tractable"
white|dana|dana,Dana White,107,"name too common in DIME donor pool (n=107 same-name individuals, no recipient/candidate match) -- not search-tractable"
hilton|steven|steve,Steve Hilton,46,"name too common in DIME donor pool (n=46 same-name individuals, no recipient/candidate match) -- not search-tractable"
torres|julio|julio,Julio Torres,71,"name too common in DIME donor pool (n=71 same-name individuals, no recipient/candidate match) -- not search-tractable"
wright|robin|robin,Robin Wright,146,"name too common in DIME donor pool (n=146 same-name individuals, no recipient/candidate match) -- not search-tractable"
welch|jennifer|jennifer,Jennifer Welch,91,"name too common in DIME donor pool (n=91 same-name individuals, no recipient/candidate match) -- not search-tractable"
