show_id,show,nw,imper_syn_rate,imper_rx_rate,you_rx_rate,dir_z,dir_z_rate,side,avg_host_cfscore
1043245989,The Dig,2463583,33.87367159831176,16.9507494067834,151.20513706294875,-1.4061932899868743,-1.4895420114293685,-0.4956521739130435,-1.026
1050430296,The New Yorker Radio Hour,783245,60.406950839150454,23.050646071587703,250.40843606119114,-0.1905019533927428,-0.024162967024638826,-0.3574730354391371,
1057255460,The NPR Politics Podcast,456127,61.88718072872533,21.983675445726046,184.34295398343335,-0.408640193603148,-0.48041664952127916,-0.112781954887218,
1060110806,The Nation Podcasts,1140008,38.79592246047594,16.856039136008093,183.27127497231353,-1.1255052367206255,-1.1910808510716213,-0.4978687127024723,
1072469956,Fox Across America w/ Jimmy Failla,1973746,81.81419752313452,34.38059580009767,313.697892535594,1.2819716867972026,1.3750299627814944,0.7215041128084606,1.057
1093260018,Slate News,1166123,68.17474130540668,19.01237608425055,269.5223924847779,-0.1233353887544228,0.04387671184936023,-0.3258293838862559,
1111319839,The Conversation with Dasha Burns,1094330,51.344544790339306,25.0200899555695,233.1711846643176,-0.189619747304767,-0.21005099841311736,-0.057471264367816,
1112258664,Russian Roulette,927332,34.50759814176584,18.105705400007764,159.19864730215284,-1.2595363527791834,-1.3665585621537006,-0.0406574394463667,-1.108
1138657182,Liberty Lockdown,1550350,62.062531239262746,26.274323755303925,296.31492606416725,0.5125151785204033,0.4706251806876122,0.413151364764268,
1147092464,Opening Arguments,1891775,69.03955232403213,23.469996320123848,249.04386666159098,0.088258136517577,0.1538312309933426,-0.3185929648241206,-1.015
1155629323,The Reason Roundtable,493562,49.18320045240579,19.294947869789965,206.9676864381805,-0.7575279453984489,-0.7134455866600365,0.0173611111111111,-1.019
1169056746,The Playbook Podcast,258098,46.656952842058566,17.706696037600913,139.8178849103001,-1.188440289601037,-1.2801149119269124,-0.0680885972108285,-1.088
1172546141,The President’s Inbox,284954,38.2729128808874,22.97777996056943,131.23645012593929,-1.1377021800597789,-1.2286457711236407,-0.0586510263929618,
1192761536,Pod Save America,2212933,62.151544895400335,26.745541860725556,218.6019854941667,-0.1214713857681722,-0.009930178024447687,-0.515713134568896,-0.975875
1195206601,The Intercept Briefing,1352602,45.26500403891917,22.072147467852385,181.8896319853289,-0.8193934474330692,-0.8106653630002304,-0.5233941316415543,-1.137
1200016351,Pod Save the World,2250738,56.21433764760816,27.413485804860898,219.00006459923114,-0.1406458745048234,-0.08721656740269935,-0.3988718775181305,-0.9536
1208232103,The Buck Sexton Show,1485482,77.59332518346856,30.008076868081687,247.90961121538186,0.5408941976497402,0.6430889487965027,0.7339130434782609,
1218054701,Rev Left Radio,2343627,47.44108872353288,21.316089469596008,229.25454224550506,-0.3255743497510022,-0.4988539694274014,-0.5517587939698493,
124960485,"Best of the Left - Leftist Perspectives on Progressive Politics, News, Culture, Economics and Democracy",1261419,48.611176713238926,20.641053496698376,165.14417248426335,-0.8499486096237862,-0.9283807340407186,-0.6195028680688337,-1.331
1253076699,The Michael Berry Show,273458,86.92793494246907,27.061164460593478,372.4543645644087,1.1575389676300851,1.4834889657908696,0.5792682926829268,0.405
1258635512,Radio Atlantic,786412,46.72115779285602,23.119878788493015,212.98159024227098,-0.4708534327735396,-0.5269016582139789,-0.2685475444096133,
1263295815,The Pete Quiñones Show,1123281,44.75730049041462,20.819981609451627,240.19170753455194,-0.5667196497457608,-0.5043135368377297,0.1625,
1265845136,Stay Tuned with Preet,1213648,56.56940712746772,25.22722875218289,233.837632983826,-0.0448201864758987,-0.09497332551354587,-0.2465397923875432,-0.842667
