show_id,show,dir_z,lean,share_right,interview,fmt_pos,dir_z_declar
1192761536,Pod Save America,-0.1214713857681722,L,0.0,0.0,,
1208232103,The Buck Sexton Show,0.5408941976497402,R,1.0,0.0,,
1362265400,Timcast News,0.6548701541569785,R,1.0,0.0,,
1510240831,The MeidasTouch Podcast,0.9436751460786243,L,0.0,0.0,,
1538788132,Tangle,-1.012851422478337,L,0.0,0.0,,
1584730781,The Benny Show,0.6276454197936306,R,1.0,0.0,,
1750591415,Candace,0.271748616242805,R,1.0,0.0,,
1800671132,Destiny,0.5895367026791737,L,0.0,0.0,,
1880163995,The Kyle Kulinski Show,1.0805971116671151,L,0.0,0.0,,
597919007,The Young Turks,0.626878516051054,L,0.0,0.0,,
402306412,The Majority Report with Sam Seder,-0.37,L,0.0,0.0,,
