n,r2,ci_95,permutation_r2,y_sd,k,target
84,0.271350424554726,"[0.06921398945226488, 0.43930204363015823]",-0.026856315725628743,1.1312213635898336,30,host_only
204,0.2703615499259352,"[0.12593059389257324, 0.38930621462839976]",-0.011370497768827592,0.8409690310079899,30,extended_all
202,0.36140904515219585,"[0.2197415071414912, 0.47278825572126837]",-0.00785744976069691,0.598741867267109,30,guest_only
84,0.29910346702281543,"[0.11788789330494644, 0.43661160073620786]",-0.21857813228908118,1.1312213635898336,50,host_only
204,0.4163966430267986,"[0.32129812232773264, 0.5022860230735624]",-0.011683771042138247,0.8409690310079899,50,extended_all
202,0.5306885459957733,"[0.4532233139001901, 0.5964584585182734]",-0.030242640528010067,0.598741867267109,50,guest_only
84,0.3514135851197918,"[0.1992402316019453, 0.4721464810058195]",-0.08230217842090082,1.1312213635898336,75,host_only
204,0.45202519365264193,"[0.3402914714952787, 0.540433144482059]",-0.012127560284924455,0.8409690310079899,75,extended_all
202,0.5474461211542663,"[0.44520678755700305, 0.6274254180854172]",-0.02942697323532184,0.598741867267109,75,guest_only
