condition,target,n_dropped,n,r2,ci_95,permutation_r2,y_sd
full,host_only,0,84,0.29910346702281543,"[0.11788789330494644, 0.43661160073620786]",-0.21857813228908118,1.1312213635898336
full,extended_all,0,204,0.4163966430267986,"[0.32129812232773264, 0.5022860230735624]",-0.011683771042138247,0.8409690310079899
full,guest_only,0,202,0.5306885459957733,"[0.4532233139001901, 0.5964584585182734]",-0.030242640528010067,0.598741867267109
register_core,host_only,4,84,0.27488860202181875,"[0.07801182971516485, 0.41397205413335636]",-0.21094773669507827,1.1312213635898336
register_core,extended_all,4,204,0.39405141457798654,"[0.29994020874278227, 0.47756443758892797]",-0.011341166076785258,0.8409690310079899
register_core,guest_only,4,202,0.5039455692070524,"[0.42307574763784195, 0.5723495015146937]",-0.012243989051404558,0.598741867267109
register_plus,host_only,9,84,0.21468157891759743,"[0.014804712991677942, 0.35950906987383796]",-0.12866398671215062,1.1312213635898336
register_plus,extended_all,9,204,0.36991972405277485,"[0.27506170982412365, 0.45322524251346935]",-0.010820991116017309,0.8409690310079899
register_plus,guest_only,9,202,0.4963427064342204,"[0.3989781217702478, 0.580375590166364]",-0.008042107470816795,0.598741867267109
