topic,prop
1,0.00777853369126437
2,0.00584562865297983
3,0.0107801888879993
4,0.0116551664446404
5,0.0265888925142815
6,0.00985334492060575
7,0.019570491424023
8,0.0140519207806136
9,0.00672335216421076
10,0.0153655286276307
11,0.0149414788647321
12,0.0122962427051383
13,0.00644196053487178
14,0.0145210954505592
15,0.00621571689540282
16,0.0232606468849764
17,0.0319489730723481
18,0.00854984073378035
19,0.0039939949314343
20,0.0069503254349589
21,0.00678604347901331
22,0.0173564204911583
23,0.0198374945843867
24,0.0391611347951803
25,0.015969500730246
26,0.0167575179841692
27,0.00848233137575765
28,0.00576884205042104
29,0.012604492780443
30,0.0125489832860219
31,0.00898917236497654
32,0.00779385275331787
33,0.0245246716739502
34,0.0121390828266179
35,0.0158861876558685
36,0.0283999690430523
37,0.00868663735671233
38,0.00525388279925496
39,0.0158599604479429
40,0.0124433998517898
41,0.0129946707447112
42,0.00996417914018555
43,0.00961863303555452
44,0.0150346926749311
45,0.0159440126030402
46,0.018243054534094
47,0.00882490949028493
48,0.00888800456704243
49,0.0206129684399919
50,0.0153685152777861
51,0.0121771514720529
52,0.00976990940792307
53,0.0166693834271123
54,0.0110920856345435
55,0.0089604987008422
56,0.0206382864200452
57,0.00703903231551885
58,0.0158178929156636
59,0.00501987189897138
60,0.0162263238856728
61,0.0107508640406054
62,0.00585580536490996
63,0.0166860137197678
64,0.0123274374117452
65,0.0165296949472813
66,0.0227157509215578
67,0.00889762039453513
68,0.00766525193277125
69,0.0130560673379764
70,0.0267013700271381
71,0.0072964547034923
72,0.0171549679290773
73,0.00491998663601934
74,0.0156293121197345
75,0.00232642398068861
