k,target,n,pc,r,abs_r,ci_low,ci_high,r2
75,host_only,84,1,-0.03209574549593671,0.03209574549593671,-0.24480637375941194,0.18356256363629153,0.0010301368789399415
75,host_only,84,2,-0.21381342797174024,0.21381342797174024,-0.40943966409369453,0.0006097045639595731,0.04571618198102655
75,host_only,84,3,-0.13030407478054418,0.13030407478054418,-0.3353312543914122,0.08650784054807927,0.01697915190441365
75,host_only,84,4,-0.05353288923269635,0.05353288923269635,-0.2648879028208881,0.1627299775559621,0.0028657702296001368
75,host_only,84,5,-0.39018197622997103,0.39018197622997103,-0.5579065286618979,-0.1918343368293433,0.15224197457472569
75,host_only,84,6,-0.2435177012665005,0.2435177012665005,-0.435191938990721,-0.03072673048947759,0.059300870830120575
75,host_only,84,7,0.10129648941509502,0.10129648941509502,-0.11560943954027351,0.30898137607093584,0.010260978767822457
75,extended_all,204,1,-0.03338668582568731,0.03338668582568731,-0.1699782822917585,0.1044636022302536,0.00111467079042315
75,extended_all,204,2,-0.10142628461520863,0.10142628461520863,-0.23551600817688817,0.036452793408360405,0.010287291210845305
75,extended_all,204,3,-0.1690211225948317,0.1690211225948317,-0.29943972168981187,-0.03240227967871119,0.02856813988321713
75,extended_all,204,4,-0.0725048105226326,0.0725048105226326,-0.207806225185398,0.06551894230744273,0.005256947548922856
75,extended_all,204,5,-0.2807902537569164,0.2807902537569164,-0.4026309554113099,-0.14917304999929948,0.0788431666048735
75,extended_all,204,6,-0.20629887333289898,0.20629887333289898,-0.33419901334862734,-0.07093804392552744,0.0425592251384235
75,extended_all,204,7,0.07265190281074534,0.07265190281074534,-0.06537170443604866,0.20794770646834368,0.005278298982021986
75,guest_only,202,1,-0.04303720847215299,0.04303720847215299,-0.18001865888631752,0.09558167438558185,0.0018522013130755572
75,guest_only,202,2,-0.024739068461577914,0.024739068461577914,-0.1622359920952104,0.1137002472843032,0.000612021508346639
75,guest_only,202,3,-0.2672839512996203,0.2672839512996203,-0.3909108056646007,-0.13418418848740551,0.0714407106223378
75,guest_only,202,4,-0.1009573161392522,0.1009573161392522,-0.23572298458329843,0.0376179759336248,0.010192379682040913
75,guest_only,202,5,-0.2842951124992702,0.2842951124992702,-0.4063961904906163,-0.15221825598560826,0.0808237109909727
75,guest_only,202,6,-0.3005229809805437,0.3005229809805437,-0.4211034528424255,-0.16950428926430597,0.09031406209743223
75,guest_only,202,7,0.13931321723426632,0.13931321723426632,0.0012869680089096268,0.27213051426017987,0.019408172496161877
30,host_only,84,1,0.04086937167007313,0.04086937167007313,-0.1750597193093315,0.2530473048102873,0.0016703055407065763
30,host_only,84,2,-0.26405807856007824,0.26405807856007824,-0.4528179772894248,-0.052643171525208955,0.06972666885284044
30,host_only,84,3,0.030247731705118606,0.030247731705118606,-0.18534943678988025,0.2430666356861588,0.0009149252733048373
30,host_only,84,4,-0.00959739657864814,0.00959739657864814,-0.22353263121064634,0.20522005484333497,9.2110021087847e-05
30,extended_all,204,1,0.05383566539629478,0.05383566539629478,-0.08415790123165091,0.18980316151743037,0.002898278868661811
30,extended_all,204,2,-0.1454325837064379,0.1454325837064379,-0.2772645048343116,-0.008225740070932073,0.02115063640353007
30,extended_all,204,3,0.08658021801080527,0.08658021801080527,-0.05140232150159543,0.22131911062494142,0.00749613415079857
30,extended_all,204,4,-0.04767718544069698,0.04767718544069698,-0.1838442821005757,0.09028531512091666,0.0022731140115466084
30,guest_only,202,1,0.08277804283060887,0.08277804283060887,-0.05591189610355452,0.21833401152294635,0.006852204374866116
30,guest_only,202,2,-0.08848958583365803,0.08848958583365803,-0.22380654867275473,0.05017434843099711,0.007830406801012331
30,guest_only,202,3,0.16598622540805819,0.16598622540805819,0.0285903604492657,0.2972264122296082,0.0275514270252147
30,guest_only,202,4,-0.09012787187376223,0.09012787187376223,-0.22537470566094675,0.048526912374546455,0.0081230332884933
