topic,prop,coherence
1,0.00777853369126437,-81.0100439223344
2,0.00584562865297983,-118.944024573491
3,0.0107801888879993,-79.9479114365517
4,0.0116551664446404,-62.552005279366
5,0.0265888925142815,-62.1541970043252
6,0.00985334492060575,-78.3112907754487
7,0.019570491424023,-74.7502909636995
8,0.0140519207806136,-74.0235799118623
9,0.00672335216421076,-106.964379878501
10,0.0153655286276307,-81.8802202044995
11,0.0149414788647321,-85.32785257065
12,0.0122962427051383,-63.0578719854656
13,0.00644196053487178,-110.422562839152
14,0.0145210954505592,-75.5152605014243
15,0.00621571689540282,-102.415619676099
16,0.0232606468849764,-77.4354077295689
17,0.0319489730723481,-46.950795081825
18,0.00854984073378035,-85.2677900346901
19,0.0039939949314343,-118.505814677128
20,0.0069503254349589,-90.1316367043035
21,0.00678604347901331,-109.692277840471
22,0.0173564204911583,-58.2283443757133
23,0.0198374945843867,-69.0244006196016
24,0.0391611347951803,-51.5309376473302
25,0.015969500730246,-75.2591858850935
26,0.0167575179841692,-74.7153399424772
27,0.00848233137575765,-121.640933043357
28,0.00576884205042104,-110.501111100451
29,0.012604492780443,-103.656777461297
30,0.0125489832860219,-78.3385287507179
31,0.00898917236497654,-115.525524316735
32,0.00779385275331787,-98.2317799645182
33,0.0245246716739502,-64.0450535562633
34,0.0121390828266179,-84.6877711957468
35,0.0158861876558685,-74.9605212633455
36,0.0283999690430523,-64.8666344156958
37,0.00868663735671233,-107.936975492584
38,0.00525388279925496,-89.3333336730977
39,0.0158599604479429,-76.9287432509842
40,0.0124433998517898,-89.3652974851432
41,0.0129946707447112,-85.7144392631297
42,0.00996417914018555,-93.5034176613191
43,0.00961863303555452,-77.9518839853209
44,0.0150346926749311,-71.8042526699252
45,0.0159440126030402,-89.0658516717565
46,0.018243054534094,-80.5268528143934
47,0.00882490949028493,-98.2604971325102
48,0.00888800456704243,-99.6986156860171
49,0.0206129684399919,-65.0865807791212
50,0.0153685152777861,-108.996330917491
51,0.0121771514720529,-101.69621478422
52,0.00976990940792307,-82.2269430253761
53,0.0166693834271123,-87.5505839142561
54,0.0110920856345435,-96.4203506907783
55,0.0089604987008422,-81.7669455631887
56,0.0206382864200452,-89.7209464416248
57,0.00703903231551885,-105.364232488135
58,0.0158178929156636,-80.0210160680265
59,0.00501987189897138,-131.124091100361
60,0.0162263238856728,-68.2131404013045
61,0.0107508640406054,-94.7355967157456
62,0.00585580536490996,-125.809402951543
63,0.0166860137197678,-86.2534076601559
64,0.0123274374117452,-88.3169339402937
65,0.0165296949472813,-80.0517015163815
66,0.0227157509215578,-69.4972406715252
67,0.00889762039453513,-115.098276141221
68,0.00766525193277125,-81.400407384661
69,0.0130560673379764,-69.790695757333
70,0.0267013700271381,-57.5422757464506
71,0.0072964547034923,-104.723132708191
72,0.0171549679290773,-89.2445454402995
73,0.00491998663601934,-129.67834608983
74,0.0156293121197345,-111.544604463515
75,0.00232642398068861,-102.224499548318
