show_id,removed_words,total_words,removed_share
1551582052,84556,379027,0.22308700963255915
1839861250,64993,332075,0.19571783482646993
1050430296,54829,293810,0.18661379803274225
1617887885,40249,217014,0.1854672970407439
1715894000,56097,305522,0.1836103455724956
1208232103,57968,322724,0.17962097643807093
1714009198,50923,283544,0.17959470135146574
1681586867,49063,290512,0.16888458996530264
1093260018,51964,318323,0.16324299532236125
1538788132,44783,295536,0.15153145471279303
1495251160,45944,315018,0.14584563421772725
1790957194,39807,283112,0.14060513153804854
1595408601,39545,287700,0.13745220716023634
1709994511,30728,239308,0.12840356360840424
1485351658,20029,161506,0.12401396852129333
1510240831,26918,221086,0.12175352577729934
1751785203,36406,309489,0.11763261376010133
1386375601,32781,281472,0.11646273874488404
1493858530,36879,318806,0.11567850040463479
1452065072,34098,298617,0.11418639930077658
1551206847,29864,266305,0.11214209271324234
1573813504,29967,274190,0.10929282614245596
1408796715,30170,277397,0.10876108970176318
1728340033,37165,349120,0.10645336846929422
1495601614,28923,274886,0.10521816316582147
1253076699,28449,271116,0.1049329438321604
158004641,29536,285056,0.10361472833408172
1057255460,29993,296079,0.10130066637620365
1507444393,25247,251253,0.10048437232590257
1635418897,24599,251989,0.09761934052676903
1586423406,31782,333158,0.09539617838983305
1509826894,26946,286700,0.09398674572724101
1674095262,24835,264354,0.09394599665599915
1480605295,23419,249287,0.09394392808289241
1476110521,24996,271908,0.09192815216911603
1725387804,24009,262139,0.09158881356837403
1794450472,26693,294766,0.09055657708148158
1200016351,27407,307646,0.08908615746669873
1669610956,14356,161986,0.08862494289629969
1309354521,23176,262634,0.08824447710502067
73329719,21759,250004,0.08703460744628086
1647085571,25840,300548,0.08597628332246429
1633301179,21609,253253,0.08532574145222367
1570045623,27229,319180,0.08530922990162292
75462585,22486,265912,0.08456180992207948
1645614328,26154,310700,0.08417766334084326
1303660358,20141,243014,0.08287999868320343
1192761536,23901,293380,0.0814677210443793
91959525,20764,257909,0.08050901674621669
1750591415,21813,272027,0.08018689321280609
716825890,22087,279234,0.07909853384616486
1785081636,17589,224723,0.07826969202084344
402050558,17843,236628,0.0754052774819548
1574741668,18671,248559,0.07511697423951658
1368074498,18856,251425,0.0749965198369295
268213039,18450,246814,0.07475264774283469
1549502623,19258,258682,0.07444661785512714
969924303,20098,270410,0.07432417440183425
1648125917,19898,272959,0.07289739484684513
402306412,16785,232189,0.07229024630796463
1606834013,20817,288231,0.07222332087804574
1810218232,19992,278429,0.07180286536244429
1456850698,21471,302474,0.07098461355356163
1896576050,18390,262870,0.06995853463689276
354628391,16728,242196,0.06906802754793638
1195206601,17519,258027,0.06789599538032841
545045867,16227,241184,0.06728058245986467
1314368109,18970,290904,0.06521051618403322
1456045551,15192,237168,0.06405585913782635
1467297559,17132,271437,0.06311593482097134
1482179882,15122,239813,0.06305746560862005
1607829807,16855,270761,0.062250471818319476
1585243541,15480,251687,0.06150496449955699
1356662668,15319,251145,0.06099663540982301
1517313007,16267,266983,0.0609289730057719
1072469956,5982,98731,0.06058887279577843
1314170606,16753,281850,0.05943941813021111
1258635512,14193,240667,0.05897360252963638
1587492577,15299,261531,0.05849784537970642
1549272440,13840,242164,0.05715135197634661
1367201919,15206,268426,0.05664875980717218
1441649707,14684,259456,0.05659533793783917
1594728054,14956,269317,0.05553307069364355
597919007,13060,236078,0.055320699090978406
1647025876,12593,228123,0.05520267574948602
702998658,15665,284025,0.05515359563418713
1671451793,14445,263718,0.0547744181284554
380996798,13867,253292,0.05474709031473556
1147092464,17711,327515,0.05407691250782407
