show_id,nw,pol_rate,share_political
73329719,1053177,88.76000900133596,0.16612791503117064
73330715,943961,114.87762735960489,0.20989717223650387
73331636,243208,146.95240288148418,0.2742257742257742
75462585,446061,115.49989799601398,0.20748486516235554
78911087,1396649,251.6953078404094,0.493813175322412
91959525,241330,274.9761737040567,0.5296482412060302
124960485,1270284,133.55281181216168,0.24778182497431586
158004641,1798789,161.80886140620163,0.3239484396200814
219258773,1749777,176.2967509574077,0.3651758575770734
268213039,258587,164.66411691229644,0.33779904306220093
354628391,2090808,110.24446051478664,0.20891514500537056
380996798,1571285,159.0227107112968,0.32569360675512665
387042247,89294,326.8976638967904,0.5994729907773386
402050558,836599,257.59055413645007,0.5179877593670698
402306412,126124,162.93488947385114,0.3217391304347826
474763182,161983,93.40486347332744,0.18
506779862,1463339,91.14087713099971,0.16513988611042338
545045867,738087,113.19803762971031,0.1991032879442046
597919007,1792986,194.31272748365018,0.39549705576723243
682478916,995576,78.92918270428375,0.12722862340812613
702998658,757203,106.76133084522908,0.196664464993395
716825890,802788,90.83344544263242,0.16446036442921663
791564318,1782202,111.05924019836137,0.19766980007943863
925428680,1841512,178.5217799286673,0.3494734053123137
929121341,2389428,84.04521919053431,0.15540103492884863
956270301,1902380,161.00358498302128,0.31990881458966564
969924303,1208382,122.1302535125482,0.23811951866204364
983782306,762476,133.87962375209187,0.25733634311512416
1043245989,2515523,99.55385023313242,0.15918235212505202
1050430296,841625,84.65765631961978,0.15787126505128588
1057255460,462616,297.7415394193024,0.5851655629139073
1060110806,1146770,146.55074688036834,0.27438449449973806
1072469956,1996475,160.6531511789529,0.3343034536282499
1093260018,1274959,115.76058524234897,0.2342934467427025
1111319839,1096319,248.9512632728248,0.5126337354882768
1112258664,927332,110.4890158001665,0.17889268972507286
1138657182,1574541,88.29874865119422,0.15859411857210254
1147092464,1970175,128.237339322649,0.24112715123242767
1155629323,502204,158.91948291929174,0.3217882584131663
1169056746,261483,349.42998206384357,0.6628856624319419
1172546141,285058,164.3875983133257,0.30213121604680315
1192761536,2277015,228.3647670305202,0.4750888706590101
