show_id,nw,elite,people,media,elite_rate,people_rate,media_rate,populist_rate
1043245989,2515523,1354,1341,362,5.38257849361743,5.330899379572359,1.4390645603319865,10.713477873189788
1050430296,841625,140,298,60,1.6634486855784938,3.54076934501708,0.7129065795336402,5.204218030595573
1057255460,462616,51,198,14,1.1024262022930464,4.280007608902416,0.30262680062946373,5.382433811195463
1060110806,1146770,273,536,100,2.3805994227264407,4.673997401396967,0.8720144405591356,7.054596824123408
1072469956,1996475,429,1454,213,2.1487872375061046,7.282835998447263,1.0668803766638701,9.431623235953367
1093260018,1274959,200,514,86,1.5686778947401447,4.031502189482172,0.6745314947382621,5.600180084222316
1111319839,1096319,198,485,41,1.8060436788927312,4.4238948700150225,0.3739787415888989,6.229938548907754
1112258664,927332,403,200,151,4.345800640978635,2.156724883860365,1.6283272873145755,6.502525524839
1138657182,1574541,500,1121,426,3.1755286143707915,7.1195351534193145,2.705550379443914,10.295063767790106
1147092464,1970175,136,402,98,0.6902940094154073,2.040427880772013,0.4974177420787494,2.73072189018742
1155629323,502204,93,257,50,1.8518371020541453,5.11744231427866,0.9956113451904007,6.969279416332805
1169056746,261483,43,66,21,1.64446637066272,2.5240646619474307,0.8031114833469097,4.168531032610151
1172546141,285058,53,72,18,1.8592707449010377,2.5258017666580135,0.6314504416645034,4.385072511559051
1192761536,2277015,355,1247,179,1.5590586798945112,5.476468095291423,0.7861169118341337,7.035526775185934
1195206601,1374130,363,963,225,2.641671457576794,7.008070561009512,1.637399663787269,9.649742018586306
1200016351,2306529,334,1034,307,1.4480633020438938,4.4829265099203175,1.3310042925972316,5.930989811964212
1208232103,1552582,494,896,366,3.181796517027764,5.77103173938639,2.357363411401137,8.952828256414154
1218054701,2345646,693,1320,249,2.954410000486007,5.627447619973346,1.0615412555858814,8.581857620459353
124960485,1270284,444,776,249,3.495281370150297,6.108870142424843,1.96019157920591,9.60415151257514
1253076699,288975,45,143,11,1.5572281339216196,4.9485249589064795,0.3806557660697292,6.505753092828099
1258635512,789364,156,365,166,1.9762745704136495,4.623975757698603,2.102958837747858,6.600250328112253
1263295815,1148416,208,375,233,1.811190370040125,3.2653672536781095,2.028881520285332,5.076557623718235
1265845136,1224867,1019,527,53,8.319270582030539,4.302507945760642,0.43270004008598484,12.62177852779118
1289062927,1505868,410,478,215,2.722682200564724,3.1742490045608247,1.4277479832229651,5.896931205125549
1291144720,1997665,681,996,195,3.4089799841314736,4.985820945954402,0.9761396430332414,8.394800930085875
1294461271,744368,179,266,60,2.4047245448487846,3.5735012789372997,0.8060529200610451,5.978225823786085
1303660358,179355,32,77,9,1.7841710574001282,4.293161606869059,0.501798109893786,6.0773326642691865
1309354521,1396288,282,783,77,2.0196406472017236,5.607725626804785,0.551462162533804,7.6273662740065085
1314170606,289202,38,285,22,1.313960484367328,9.85470363275496,0.7607139646337162,11.168664117122288
1314368109,195233,42,152,7,2.15127565524271,7.785569038021237,0.3585459425404517,9.936844693263946
1317356120,2452707,907,1061,313,3.6979549534453158,4.325832641240882,1.2761410148052745,8.023787594686198
1317481380,1627677,179,336,119,1.0997267885458846,2.0642916254269124,0.7311032840053647,3.164018413972797
1351411911,1466448,236,559,108,1.6093308456897208,3.8119319607650595,0.7364734378580079,5.421262806454781
1356662668,1009255,157,323,32,1.5556028952048788,3.20038047866991,0.3170655582583193,4.7559833738747885
1362265400,1661217,609,942,577,3.665987044437903,5.670541536716756,3.4733571833180132,9.33652858115466
1364113251,1011859,146,559,97,1.4428887819350324,5.524485130833446,0.9586315879979325,6.967373912768478
1367201919,364325,52,286,22,1.4272970561998217,7.850133809099019,0.6038564468537707,9.277430865298841
1368074498,187419,63,111,21,3.3614521473276455,5.922558545291566,1.1204840491092152,9.284010692619212
1378389941,808961,197,417,66,2.435222464370965,5.154760241841078,0.8158613332410338,7.589982706212043
1386375601,799627,189,586,215,2.363602029446229,7.328416874367674,2.6887536313806315,9.692018903813903
1408796715,435450,107,285,34,2.457228154782409,6.5449534963830525,0.780801469743943,9.002181651165461
1432118523,1531405,311,1151,317,2.0308148399672197,7.515973893254888,2.069994547490703,9.546788733222108
1439837349,1694770,499,810,82,2.944352330994766,4.779409595402326,0.4838414652135688,7.723761926397092
1441649707,669956,121,324,45,1.806088758067694,4.836138492677131,0.6716859017607126,6.642227250744825
1447684472,589854,100,295,47,1.695334777758564,5.001237594387764,0.7968073455465251,6.696572372146328
1449848509,1725279,283,804,321,1.6403144071190805,4.660115842133359,1.860568638463692,6.3004302492524396
1452065072,978655,302,573,105,3.0858678492420717,5.854974429191083,1.0729010734119788,8.940842278433156
1456045551,1246354,227,623,89,1.8213124040200457,4.998579857729023,0.714082836818432,6.819892261749069
1456850698,1467738,179,937,188,1.2195637095993972,6.383973161422543,1.280882555333445,7.60353687102194
1462195742,1169772,243,552,58,2.0773278895374485,4.718868292282599,0.49582311766737447,6.796196181820047
1462703434,1356054,550,726,99,4.055885680068788,5.3537690976908,0.7300594224123819,9.409654777759588
1467297559,1475496,282,512,79,1.9112217179850028,3.4700195730791545,0.5354131763149477,5.381241291064157
1467993804,717547,212,463,64,2.9545102968864754,6.452538997445464,0.8919276367959171,9.407049294331939
1471411980,326310,115,250,76,3.5242560755110173,7.661426251110907,2.329073580337716,11.185682326621924
1474001390,262166,20,84,18,0.7628754300710238,3.2040768062982994,0.6865878870639214,3.9669522363693233
1476110521,1544313,369,907,433,2.3894119909629716,5.873161723044486,2.803835750913189,8.262573714007457
1480605295,225910,17,39,4,0.7525120623257049,1.726351201806029,0.17706166172369528,2.478863264131734
1482179882,1047513,242,559,60,2.3102338586728757,5.336449285116271,0.5727852542164155,7.646683143789147
1484862164,1364331,201,576,82,1.4732495266911034,4.2218493899207745,0.6010271700928881,5.695098916611878
1485021241,378107,99,187,64,2.6183064582247884,4.945689976646822,1.6926425588523883,7.56399643487161
1485186805,1504344,159,409,124,1.0569391043537915,2.7187930420169852,0.8242795530809441,3.7757321463707765
1485351658,826787,483,832,183,5.841891563365171,10.063051305838142,2.2133874867408414,15.904942869203314
1490993194,1434715,147,302,98,1.024593734644163,2.104947672534266,0.6830624897627752,3.1295414071784293
1493858530,961854,119,360,235,1.237194002416167,3.7427717720152955,2.44319824006554,4.979965774431463
1494037881,8908,1,2,0,1.122586439155815,2.24517287831163,0.0,3.3677593174674447
1495251160,1127665,241,859,348,2.137159528760758,7.617510519524859,3.086022888003086,9.754670048285616
1495601614,923734,182,574,318,1.9702641669571543,6.213910065018718,3.4425494785295334,8.184174231975872
1502568407,167823,91,174,49,5.422379530815204,10.368066355624675,2.91974282428511,15.79044588643988
1506127536,817789,255,552,80,3.1181637317205295,6.749907372195029,0.9782474452456563,9.868071103915558
1507444393,409800,1105,943,305,26.964372864812102,23.011224987798926,7.44265495363592,49.97559785261103
1509826894,542062,107,250,64,1.9739439399921042,4.612018551383421,1.1806767491541559,6.585962491375525
1510240831,851855,101,581,209,1.1856477921712028,6.820409576747216,2.4534691937008057,8.00605736891842
1515399733,970023,194,816,108,1.9999525784440164,8.412171670156274,1.1133756622265658,10.412124248600291
1517313007,182422,49,100,24,2.686079529881264,5.4817949589413555,1.3156307901459254,8.16787448882262
1529346075,1427820,269,617,70,1.8839909792550884,4.321272989592526,0.49025787564258805,6.205263968847614
1531192509,292822,110,201,72,3.756548346777223,6.864238342747471,2.4588316451632735,10.620786689524694
1535255041,1000378,388,392,150,3.87853391418044,3.91851879989364,1.4994332142450153,7.79705271407408
1535384390,1596402,295,892,299,1.8479054774423986,5.5875650368766765,1.8729618228992446,7.435470514319075
1536169792,1272151,118,472,85,0.9275628443478801,3.7102513773915202,0.6681596760133035,4.637814221739401
1536984072,1193035,387,507,105,3.2438277167057126,4.249665768397406,0.880108295230232,7.493493485103119
1538788132,821833,112,238,71,1.3628072856650926,2.8959654820383216,0.8639224757341211,4.258772767703414
1548086514,541521,14,229,4,0.2585310634305964,4.228829537543327,0.07386601812302755,4.487360600973924
1548554104,1092916,224,243,22,2.0495628209304284,2.2234096673486343,0.2012963484842385,4.272972488279063
1549272440,247110,9,46,4,0.3642102707296345,1.861519161507021,0.16187123143539314,2.2257294322366556
1549502623,1084694,100,304,64,0.9219189928219388,2.802633738178694,0.5900281554060408,3.7245527310006326
1549624070,1441726,212,677,23,1.4704597128719328,4.695760498180653,0.15953100658516248,6.166220211052586
1551206847,1183877,122,436,41,1.0305124603316054,3.6828150221686884,0.3463197612589821,4.7133274825002935
1551582052,1003362,197,573,86,1.9633990523858786,5.710800289426946,0.8571183680466272,7.674199341812825
1556687660,2850,0,2,1,0.0,7.017543859649122,3.508771929824561,7.017543859649122
1567204040,225132,106,137,37,4.708348879768314,6.085318835172255,1.6434802693530906,10.793667714940568
1568505052,1397632,549,1233,480,3.928072625698324,8.822064749519187,3.4343804377690264,12.750137375217511
1570045623,1578948,476,730,311,3.014665460800482,4.623331484000739,1.9696658788003152,7.6379969448012215
1570380458,901684,290,554,81,3.2162043465338193,6.144059337861157,0.8983191450663425,9.360263684394976
1570432345,764997,154,480,77,2.013079789855385,6.274534409938863,1.0065398949276925,8.287614199794248
1573813504,449713,45,125,32,1.00063818479786,2.7795505133273886,0.7115649314118115,3.7801886981252486
1574741668,86572,22,15,2,2.5412373515686366,1.7326618306149795,0.23102157741533058,4.273899182183616
1576614213,368845,125,202,66,3.3889574211389606,5.476555192560561,1.7893695183613714,8.865512613699522
1579061364,1893974,477,979,253,2.5185139817125264,5.169025551565122,1.3358155919775032,7.687539533277649
158004641,1798789,427,918,113,2.373819275078956,5.103433476633446,0.6282004170583654,7.477252751712403
1584730781,1377862,444,1099,317,3.222383663966348,7.97612533040319,2.3006658141381355,11.198508994369538
1585243541,827411,319,540,283,3.855399553547149,6.526381689390157,3.4203074409211385,10.381781242937306
1586423406,777599,169,451,77,2.1733567044196302,5.799904578066587,0.9902276108894174,7.9732612824862175
1587492577,223496,86,336,37,3.847943587357268,15.033826108744675,1.6555106131653363,18.881769696101944
1587936366,158508,22,57,11,1.3879425644131527,3.596033007797714,0.6939712822065763,4.983975572210866
1592116227,861706,247,560,113,2.8664068719493656,6.498736227901396,1.3113521317015315,9.365143099850762
1594728054,548312,267,532,180,4.8694903631509066,9.702505143057238,3.282802492011847,14.571995506208143
1595408601,909044,230,1038,208,2.5301305547366244,11.41858919920268,2.2881180668922516,13.948719753939304
1599294971,5472,1,2,0,1.827485380116959,3.654970760233918,0.0,5.482456140350877
1599891719,618611,93,181,10,1.5033680293431577,2.925909820549586,0.16165247627345777,4.429277849892744
1606834013,141565,24,93,7,1.6953342987320312,6.5694204075866205,0.4944725037968425,8.264754706318652
1607829807,638486,92,437,113,1.4409086495240304,6.844316085239144,1.7698117108284284,8.285224734763174
1612691018,1039387,293,783,270,2.8189692578414007,7.533286446722924,2.5976849816285945,10.352255704564325
1614844654,768272,183,207,152,2.3819688860195347,2.6943582481204578,1.9784659599725098,5.0763271341399925
1617887885,312049,43,82,41,1.3779887133110504,2.6277924300350266,1.3138962150175133,4.005781143346077
1623855270,482951,128,105,28,2.650372398027957,2.174133607757309,0.5797689620686156,4.824506005785266
1633301179,730610,118,162,65,1.615088761445915,2.217325248764731,0.8896675380846143,3.8324140102106456
1634341981,435801,27,121,52,0.6195488307736788,2.7764966119857455,1.193205155564122,3.396045442759424
1635418897,642837,203,368,71,3.157876724581815,5.724623815990679,1.1044790514547234,8.882500540572494
1635446643,447182,134,314,42,2.996542794656315,7.0217495337468865,0.9392149057878,10.018292328403202
1636762428,1347591,415,612,110,3.0795693945714984,4.541437275850017,0.8162714057900357,7.621006670421515
1640311112,882659,99,448,107,1.1216109505482865,5.075572786319519,1.2122461788754209,6.197183736867806
1645614328,844090,163,452,109,1.9310737006717293,5.354879219040624,1.29133149308723,7.285952919712353
1647025876,97606,60,104,12,6.147163084236625,10.655082679343483,1.229432616847325,16.802245763580107
1647085571,716082,196,492,78,2.7371166989255418,6.870721509547789,1.08926072712343,9.607838208473332
1648125917,819823,681,483,623,8.306671074122097,5.891515607637258,7.599201291010377,14.198186681759354
1654162813,1389630,303,1076,327,2.1804365190734223,7.743068298755784,2.3531443621683468,9.923504817829206
1659250199,9149,0,1,0,0.0,1.0930156301235108,0.0,1.0930156301235108
1660317917,490394,77,311,96,1.5701660297638227,6.341839418916218,1.9576095955497008,7.912005448680041
1669610956,967573,335,583,795,3.462271063785368,6.025385164736924,8.216434315550352,9.487656228522292
1671451793,687413,208,201,41,3.0258374514302178,2.924006383353239,0.5964391130223025,5.949843834783456
1674095262,396267,50,83,19,1.2617755200407805,2.094547363267696,0.4794746976154966,3.3563228833084766
1679657705,652426,30,189,13,0.4598222633677995,2.8968802592171374,0.1992563141260465,3.356702522584937
