show_id,llm_density,n_labelled,words_labelled
1043245989,0.9041028114834193,1400.0,161694.0
1050430296,0.4620276842499065,1400.0,173745.0
1057255460,0.8740577283634372,1080.0,129607.0
1060110806,0.8433447160424181,1400.0,166627.0
1072469956,0.8195012081978461,1040.0,134084.0
1093260018,0.6068119223228456,1400.0,171376.0
1111319839,0.9378343287457803,1400.0,173295.0
1112258664,0.9412386549361894,1240.0,143785.0
1138657182,0.7818631127673517,1040.0,126659.0
1147092464,0.7127688459338768,1400.0,173101.0
1155629323,0.7985934796773542,360.0,44507.0
1169056746,0.983885916501664,1262.0,142422.0
1172546141,0.9457751241924575,360.0,42877.0
1192761536,0.8894985179706805,1400.0,174423.0
1195206601,0.8963147506258424,1400.0,166176.0
1200016351,0.8897193642192299,1400.0,171254.0
1208232103,0.830070649723067,1400.0,172966.0
1218054701,0.7072919774245201,1400.0,164249.0
124960485,0.7341615200217281,720.0,84683.0
1253076699,0.455884913380343,360.0,45948.0
1258635512,0.7486096995941144,1286.0,158419.0
1263295815,0.659060497218114,240.0,28398.0
1265845136,0.8278734036646308,1400.0,169294.0
1289062927,0.6369126431134783,1400.0,166913.0
1291144720,0.7563907680525418,1400.0,172358.0
1294461271,0.8606135499274153,1400.0,166702.0
1303660358,0.8125459951134791,280.0,33971.0
1309354521,0.7646057736752903,1167.0,142786.0
1314170606,0.9313186813186813,240.0,29120.0
1314368109,0.8829432500238178,255.0,31489.0
1317356120,0.42743860944186207,1400.0,173398.0
1317481380,0.9009982441707698,1360.0,162886.0
1351411911,0.8906675167647695,1400.0,175666.0
1356662668,0.9086405745566837,1400.0,170984.0
1362265400,0.8489313087490962,1400.0,172875.0
1364113251,0.7440406663751982,1235.0,153247.0
1367201919,0.8414672259231845,496.0,60795.0
1368074498,0.8681841173495195,80.0,9885.0
1378389941,0.7519201403924607,720.0,87754.0
1386375601,0.8407527688843273,1080.0,130558.0
1408796715,0.8638638027825238,400.0,49164.0
1432118523,0.8971513089068193,1320.0,166322.0
1439837349,0.643459175274834,1280.0,156731.0
1441649707,0.6445962416031291,1177.0,141124.0
1447684472,0.9009876708358415,360.0,44853.0
1449848509,0.6766005005956285,1240.0,149422.0
1452065072,0.6250797807591838,1240.0,151979.0
1456045551,0.920205070768082,1240.0,149997.0
1456850698,0.6562962220160946,1240.0,159556.0
1462195742,0.8120786922194202,1160.0,145529.0
1462703434,0.8152573204136379,1200.0,141283.0
1467297559,0.9408100921728918,1200.0,151563.0
1467993804,0.9399817066609276,600.0,74344.0
1471411980,0.7291099068890153,280.0,33401.0
1474001390,0.7078710253928067,320.0,40287.0
