show_id,nw,plural,you_all,you_declar,you_deontic,you_question,you_named,you_know,plural_rate,you_all_rate,you_declar_rate,you_deontic_rate,you_question_rate,you_named_rate,you_know_rate,q_share,decl_share,show,dir_z,side,avg_host_cfscore
1538788132,17626,23,282,190,11,15,21,56,13.048905026665153,159.990922500851,107.79530239419041,6.240780664926813,8.510155452172926,11.914217633042098,31.77124702144559,0.05319148936170213,0.6737588652482269,Tangle,-1.012851422478337,-0.0770252324037184,
402050558,18447,22,370,200,18,67,58,45,11.926058437686343,200.57461917927034,108.41871306987586,9.757684176288828,36.32026887840841,31.441426790264,24.39421044072207,0.1810810810810811,0.5405405405405406,The David Pakman Show,0.3667285148074946,-0.439469320066335,
1043245989,17458,32,317,180,29,19,21,97,18.329705579104136,181.57864589300036,103.10459388246078,16.611295681063122,10.883262687593081,12.028869286287089,55.561920036659416,0.05993690851735016,0.5678233438485805,The Dig,-1.4061932899868743,-0.4956521739130435,-1.026
929121341,18927,30,639,453,47,106,26,54,15.850372483753368,337.6129339039467,239.34062450467587,24.832250224546943,56.00464944259523,13.736989485919585,28.530670470756064,0.16588419405320814,0.7089201877934272,Louder with Crowder,2.009295500993425,0.551622418879056,0.904
1192761536,18885,30,477,273,21,71,61,72,15.885623510722795,252.58141382049243,144.55917394757745,11.119936457505958,37.595975642043946,32.30076780513635,38.12549642573471,0.1488469601677149,0.5723270440251572,Pod Save America,-0.1214713857681722,-0.515713134568896,-0.975875
1447684472,18772,30,474,268,30,48,42,116,15.981248668229277,252.50372895802258,142.76582143618154,15.981248668229277,25.569997869166844,22.373748135520987,61.794161517153206,0.10126582278481013,0.5654008438818565,The Bulwark Podcast,-0.1216496312592675,-0.4330218068535825,-0.99
597919007,18453,36,354,260,26,44,43,7,19.509022923101934,191.83872541050238,140.89849888906954,14.089849888906953,23.84436135045792,23.30244404703842,3.7934211239364872,0.12429378531073447,0.7344632768361582,The Young Turks,0.626878516051054,-0.5587326120556414,-1.0779999999999998
1818658022,18284,20,326,216,25,33,30,47,10.938525486764384,178.29796543425945,118.13607525705535,13.67315685845548,18.048567053161232,16.407788230146576,25.705534893896303,0.10122699386503067,0.6625766871165644,"Life, Liberty & Levin Podcast",-0.2239067673579039,0.6858407079646017,-0.904
1730358737,15721,7,73,45,3,9,16,3,4.452642961643662,46.43470517142675,28.624133324852107,1.9082755549901405,5.724826664970421,10.177469626614084,1.9082755549901405,0.1232876712328767,0.6164383561643836,Letters from an American,-2.7997047381133693,-0.4923747276688453,-1.058
1570045623,18281,27,393,248,22,24,42,79,14.76943274437941,214.97729883485587,135.65997483726272,12.034352606531371,13.128384661670587,22.97467315792353,43.214266177999015,0.061068702290076333,0.6310432569974554,Breaking Points with Krystal and Saagar,0.5469606271813514,-0.1682758620689655,-0.9107
1510240831,18052,35,479,276,25,65,71,67,19.388433414580103,265.34456015953907,152.8916463549745,13.848881010414358,36.00709062707733,39.330822069576776,37.11500110791048,0.13569937369519833,0.5762004175365344,The MeidasTouch Podcast,0.9436751460786243,-0.5768261964735516,-0.995
1721813926,17918,31,519,248,25,60,42,169,17.301038062283737,289.6528630427503,138.4083044982699,13.952450050228821,33.48588012054917,23.44011608438442,94.31856233954683,0.11560693641618497,0.47784200385356457,Bad Hasbara - The World's Most Moral Podcast,0.6317561423257826,-0.4788359788359788,-1.147
1441649707,18048,44,389,262,17,37,38,52,24.379432624113477,215.5363475177305,145.16843971631207,9.419326241134751,20.500886524822693,21.05496453900709,28.81205673758865,0.09511568123393316,0.6735218508997429,Straight White American Jesus,-0.133222976039437,-0.4960629921259842,-1.02
1509826894,18501,21,423,178,13,34,80,131,11.350737797956867,228.63628993027405,96.21101562077726,7.026647208259013,18.37738500621588,43.24090589697854,70.80698340630236,0.08037825059101655,0.42080378250591016,RealClearPolitics Podcast,0.2029601809418261,0.2469733656174334,0.1149999999999999
1886801652,17961,32,369,223,16,34,64,48,17.8163799343021,205.44513111742108,124.15789766716775,8.90818996715105,18.92990368019598,35.6327598686042,26.724569901453147,0.0921409214092141,0.6043360433604336,Sidebar with Katie Phang,0.7425665624257332,-0.6176470588235294,-0.5535
1743030473,18665,19,392,242,32,38,60,52,10.17948031074203,210.01875167425663,129.65443343155638,17.144387891776052,20.35896062148406,32.14572729708009,27.859630324136084,0.09693877551020408,0.6173469387755102,The Rest Is Politics: US,0.4013963068259052,-0.1820728291316526,0.6405
1635446643,18652,27,422,233,24,69,31,89,14.475659446708127,226.2491957966974,124.91957966974051,12.867252841518336,36.99335191936522,16.620201586961183,47.716062620630495,0.16350710900473933,0.5521327014218009,The Coffee Klatch with Robert Reich,0.0009192721303042,-0.7146853146853147,-0.868
158004641,18164,30,418,285,28,35,43,55,16.5161858621449,230.12552301255232,156.90376569037656,15.415106804668577,19.268883505835717,23.673199735741026,30.279674080598987,0.08373205741626795,0.6818181818181818,Political Gabfest,-0.4810222712267788,-0.3762475049900199,-0.9198333333333334
1432118523,18716,22,314,193,25,69,39,13,11.754648429151528,167.77089121607182,103.1203248557384,13.357555033126735,36.866851891429796,20.837785851677708,6.945928617225903,0.2197452229299363,0.6146496815286624,The Damage Report with John Iadarola,0.1603846652009104,-0.615580016934801,-1.017
1877144831,18450,22,375,188,16,33,30,124,11.924119241192411,203.2520325203252,101.8970189701897,8.672086720867208,17.88617886178862,16.260162601626018,67.20867208672087,0.088,0.5013333333333333,Paul Krugman Podcast,-0.5422988422614333,-0.504424778761062,
1218054701,18090,15,449,247,21,40,22,140,8.291873963515755,248.20342730790492,136.5395245992261,11.608623548922056,22.111663902708678,12.161415146489773,77.39082365948038,0.08908685968819599,0.5501113585746102,Rev Left Radio,-0.3255743497510022,-0.5517587939698493,
1072469956,19364,33,635,400,35,70,59,106,17.041933484817186,327.9281140260277,206.5688907250568,18.07477793844247,36.14955587688494,30.46891138194588,54.740756042140056,0.11023622047244094,0.6299212598425197,Fox Across America w/ Jimmy Failla,1.2819716867972026,0.7215041128084606,1.057
1531192509,18167,16,386,221,32,40,46,79,8.807177849947708,212.47316562998844,121.6491440524027,17.614355699895416,22.01794462486927,25.32063631859966,43.485440634116806,0.10362694300518134,0.572538860103627,Bad Faith,-0.2957963419052793,-0.5654761904761905,
1587936366,17871,14,261,115,9,33,56,57,7.833920877399138,146.04666778579823,64.35006435006434,5.0360919926137315,18.46567063958368,31.335683509596553,31.895249286553636,0.12643678160919541,0.44061302681992337,The Inside Story Podcast,-1.177768395774463,-0.3074074074074074,
