show_id,show,words,religious,profanity,second_person,imperatives,hedging,assertion,out_group_pron,in_group_pron,america,named_actors,insult,catastrophe,fillers,valence,n,side,inten,lean,ideological_intensity
73329719,KQED's Forum,1053177,3.1333764409970972,0.2278819229816071,252.36023954188138,20.22452066461763,107.79764465042439,17.357006467099072,108.56674614048731,167.6641248337174,8.051827945350118,16.416993534799943,0.7121310093175222,1.0919342142868673,101.33149508582129,0.5097488281249999,513.0,-0.3333333333333333,0.40350877192982454,L,0.40350877192982454
73330715,On the Media,943961,4.692990494310676,1.3983628560925716,163.44954929282036,18.274060051209744,66.7930136944217,13.528101266895561,128.7129447085208,121.88003529806846,17.129944987134003,19.598267301297405,2.553071578169013,2.150512574142364,29.641055085962236,0.1301741935483871,962.0,-0.28586278586278585,0.3523908523908524,L,0.3523908523908524
73331636,The Brian Lehrer Show,243208,3.782770303608434,0.4111706851748298,217.96158021117728,18.543797901384824,93.70579915134371,19.20167099766455,112.29071412124601,146.78793460741423,9.826979375678432,33.75711325285352,0.9868096444195915,1.9325022203217,69.36449458899378,0.4501641791044778,255.0,-0.2901960784313726,0.32941176470588235,L,0.32941176470588235
75462585,NBC Nightly News with Tom Llamas,446061,3.4300241446797637,0.4483691692391848,229.25115623199517,17.553652975714083,37.68542867455348,10.357327809425168,86.71459733085834,158.8347782029812,15.55841017259971,24.884488892774755,1.681384384646943,0.9191567969403288,33.717361526786696,0.3144063063063062,415.0,-0.26987951807228916,0.3036144578313253,L,0.3036144578313253
78911087,Face the Nation with Margaret Brennan,1396649,1.9976386336151746,0.25059982858971724,202.26986164741464,25.281942707151188,58.69047985571178,16.360588809357253,120.538517551654,223.5493670922329,22.668544494715565,37.17469457250891,1.145599216410136,1.575198922563937,29.076740111509764,0.3558835913312697,1250.0,-0.08,0.3664,L,0.3664
91959525,This Week with George Stephanopoulos,241330,2.6934073675050763,0.9944888741557204,187.6269009240459,24.489288526084614,51.38192516471222,20.179836738076492,127.46032403762483,176.97758256329507,28.881614386939045,50.428873326979655,2.320474039696681,2.527659221812456,33.771184684871336,0.16986307692307692,219.0,0.0273972602739726,0.3926940639269406,R,0.3926940639269406
124960485,"Best of the Left - Leftist Perspectives on Progressive Politics, News, Culture, Economics and Democracy",1270284,5.353133629959914,3.699960008942882,165.14417248426335,20.168718176407797,68.89797871971938,18.594267108772527,141.4014503843235,137.2448995657664,18.208526597201885,23.58527699317633,2.0389141325876734,3.7471935409719404,48.19394718031558,0.18698403908794786,523.0,-0.6195028680688337,0.6730401529636711,L,0.6730401529636711
158004641,Political Gabfest,1798789,4.20838686471843,1.7178223793896894,228.4981729374596,18.29564223485912,97.72685957052217,16.56670126401707,110.05737749118991,101.69063742328866,11.785706939502075,31.543443950346596,2.5795132169476243,1.4676540717115794,61.93611368537388,0.3858027586206895,1002.0,-0.37624750499001997,0.42614770459081835,L,0.42614770459081835
219258773,Brian Kilmeade Show,1749777,3.3775732564778256,1.0229875006929454,264.05650548612766,33.53570197802348,63.93957630029426,16.2649297596208,157.87726093096435,156.69425303910157,18.3566248727695,47.10886015760865,2.4460259793105066,2.045975001385891,54.378357927895955,0.3007637254901958,814.0,0.538083538083538,0.6339066339066339,R,0.6339066339066339
268213039,The Political Scene | The New Yorker,258587,7.038250182723803,0.6960906774122443,247.92429627166098,23.203022580408142,112.37997269777676,18.17570102131971,99.73432539145432,120.07564185361213,18.639761472927873,48.5329888973537,1.3535096505238082,2.7070193010476165,81.44260925723258,0.4205827160493827,180.0,-0.3,0.3333333333333333,L,0.3333333333333333
354628391,Renegade Talk Radio,2090808,10.55094489785767,6.17942919675073,264.3523460786452,23.043722809554968,45.70481842426469,17.156046848873736,192.11233169186266,152.4769371458307,15.348133353229947,28.96966148972072,5.686796683387475,5.39982628725354,53.00343216593776,0.1635365200764819,942.0,0.6645435244161358,0.7388535031847133,R,0.7388535031847133
380996798,"The Bob Cesca Show | Politics Podcast, News & Commentary",1571285,14.841355960249096,29.739989880893663,221.12474821563242,25.215031009651337,69.40815956366923,21.30103704929405,119.84458580079362,133.75040174125,7.471591722698301,59.499072415252485,6.949725861317329,2.641150396013454,98.04077554358375,0.3761880886426595,897.0,-0.6343366778149386,0.705685618729097,L,0.705685618729097
387042247,Washington Today,89294,2.7997401841109144,0.6719376441866195,131.0278406163908,12.654825632181334,43.11599883530808,12.43084641745246,101.79855309427285,160.36911774587318,27.88541223374471,43.89992608685914,4.5915739019419,2.0158129325598586,25.757609693820413,0.3161777777777777,,,,?,
402050558,The David Pakman Show,836599,4.0640737079532725,3.000242649106681,209.09659227419587,34.197984936630334,63.232205632567094,20.18888380215611,117.58321489745984,135.23802921112744,12.240033755718091,118.76657753595211,6.5144710906898045,3.502275283618556,36.8635391627291,0.20204732142857143,603.0,-0.439469320066335,0.6583747927031509,L,0.6583747927031509
402306412,The Majority Report with Sam Seder,126124,3.409343186070851,5.946528812914275,197.58333069043164,21.724651929846818,88.8807839903587,22.20037423487996,139.46592242554945,156.7504995084203,12.130918778345121,29.01906060702166,2.299324474326853,1.506453965938283,95.46160920998382,0.5006142857142858,,,,?,
474763182,The Globalist,161983,1.2346974682528413,0.12346974682528414,147.42287770938927,18.58219689720526,103.34417809276282,33.460301389652,117.111054863782,131.9274244828161,10.1245192396733,19.014341011093755,0.6790836075390627,1.852046202379262,61.11752467851564,0.4666374999999999,,,,?,
506779862,Lectures in History,1463339,8.009080602649147,0.4783580564722187,159.92193196518375,20.740238591331195,75.36872864045857,16.223171800929244,150.06775600185603,113.56220260650471,34.29827264905808,4.1002119126190175,1.100223529886103,4.564902596049173,27.778935707993842,0.17254454277286135,996.0,-0.09939759036144578,0.1636546184738956,L,0.1636546184738956
545045867,Scott Horton Show - Just the Interviews,738087,3.40068311730189,4.321983722786067,211.3165521137752,21.975729148460818,79.65185675943351,22.16540868488403,212.2378527192594,113.48255693434514,17.89761911536174,20.255064782335957,2.8045474314003633,3.387134578985946,112.07350894948698,0.10171088082901554,745.0,-0.09395973154362416,0.4053691275167785,L,0.4053691275167785
597919007,The Young Turks,1792986,6.2800267263659615,3.692164913724926,205.12708967052725,31.673420762906126,47.45714690466072,24.65161468076159,171.4848861061938,157.12336850371392,21.260623340059542,52.638447818332104,8.74518819444212,2.638057408144849,19.62647784199096,0.18571425178147255,1294.0,-0.5587326120556414,0.7287480680061824,L,0.7287480680061824
682478916,War on the Rocks,995576,0.9943992221588307,0.6428439415976279,180.82999188409525,23.011804221877586,120.92497207646629,20.721672679936038,134.07313956945526,196.17789098973861,8.567904409105884,9.873681165476066,0.472088519610758,1.7979541491558655,51.377293144872915,0.31235100401606436,1027.0,-0.028237585199610515,0.06718597857838364,L,0.06718597857838364
