show_id,MDNE,MDWS,COND,SPLIT,VIMP,PP2,EMPH,HDG,MDCA,MDCO,n_files,words,D4_biber,D4_plus_imp
1043245989,2.5929631152305905,1.4859517084356026,2.4697089878568663,2.9794354669939285,0.9705963053869009,14.480791612840719,0.5587105315850667,0.3455612582353701,3.2277944193256682,1.0090681339620204,16.0,30964.0,-0.5486963525841478,-0.6310029440137803
1050430296,1.8165785906889722,1.3952078582434515,1.8908307423508697,3.220811303103676,1.931609418335901,18.025032167620516,0.679626406009245,0.32467798811358134,3.1308453444860223,1.4068813669381466,64.0,36344.0,-0.9587785712246562,-0.607924949424003
1057255460,2.2144942819001003,2.3577188452553126,2.552452341751029,4.0922253865836025,3.2862089442652134,15.43787443542107,0.7342233062632106,0.41161575258649463,1.5568321726554677,1.5376526087440205,32.0,8989.0,-0.06513400248116286,0.0653679186718605
1060110806,2.6279284307098014,1.278749507484307,2.1773629840656685,3.702196702076292,1.08344064703042,13.893318937711252,0.9126061129888943,0.4442270255915017,1.5160652631578948,1.39717870593916,32.0,20710.0,-0.4924321128522018,-0.603729578278305
1072469956,2.18691552260934,1.7580955819125277,2.6639244773906596,2.598117823573017,2.938198378057821,24.80622666271312,0.6819964447739065,0.16901591104521868,2.7594834603409932,1.1775158161601187,16.0,33725.0,-0.6430992075857278,0.05079777505815423
1093260018,2.278453644233042,1.4773775452020799,3.0095710499881827,3.781699144705744,1.8940017681990073,18.997641002422597,0.6381521478373906,0.35156784004963365,3.6350191296383834,1.4484392578586622,72.0,67696.0,-0.24157297678854756,-0.09150944431403203
1111319839,2.486066443591803,2.4195209392938937,2.7498016061390205,3.464148707652955,2.183396282085601,18.525155512923472,0.6543513756283276,0.38666784450194813,2.550653686683918,1.5536874066803485,40.0,33621.0,-0.06972526710938441,0.043220143678109745
1112258664,2.508718440455798,2.659541254561704,3.114437897519923,5.346859222089819,0.7087682505399568,11.22770943807254,0.7093905377224995,0.8192439133834811,3.345185195873985,1.3263445129217248,56.0,53708.0,0.6717122355636582,-0.000840030842214771
1138657182,2.605176158631125,1.6992518110324473,4.2042513328227455,4.827579726523827,1.2597778977453162,17.243470775035956,0.6183140604860553,0.42217090019240466,3.4800930342032017,1.1264075486148728,32.0,53533.0,0.6376146656288191,0.32521295671835143
1147092464,2.7230213734636326,1.9265065977333595,3.4135784349892697,4.228200154301828,2.114515357465903,16.60585459801713,0.6952433162478051,0.34939943600021284,3.1017744515190744,1.4875329372328538,48.0,56383.0,0.30420387853503295,0.19651273495522978
1155629323,3.1513413001912047,2.5321922209922514,3.400699204991446,4.14945964576834,1.2693361980477005,13.800110073462816,0.734623739559223,0.5434202173694274,2.2985237496226225,0.9218067022240114,8.0,9937.0,0.599722825790525,0.1467655775465778
1169056746,3.111469505600618,2.547285786017768,2.1442076284279645,4.369212205484743,1.9494953843182696,10.602858555426804,0.8690590189262264,0.4055631904210119,1.9595884704519122,1.53883955195056,16.0,5178.0,0.22634863311161074,-0.1484217432073409
1172546141,6.380959581589958,2.724415669456067,3.3718455648535564,3.476977824267782,0.4100136192468619,13.626100962343095,0.5648621129707113,0.31380087866108786,1.9896646234309625,1.8024791422594142,8.0,4780.0,1.5154073676190651,0.6265636402991206
1192761536,3.142164601303747,2.2352872182348937,2.3279189526129804,3.8201970391343476,2.141913586181164,16.10909472684972,0.6551661497772218,0.3039888073132723,2.9736565692148993,1.0677846063519238,72.0,91122.0,0.04843449045778739,0.007619952203803564
1195206601,1.9846699751574326,1.1052753408631348,1.7976859610607197,5.086786557571206,1.4068910826737535,11.324283884106533,0.5661763143451383,0.28454276532439776,2.3093944913051017,1.171453446184066,80.0,69236.0,-0.48927255777131123,-0.6706921702637118
1200016351,2.8138027203058655,2.589213725025799,2.5706014176718375,4.4708820084248275,1.7679754512696453,15.829486637004957,0.6986889885131363,0.5007474632471114,2.697281054287696,1.2058913247957235,40.0,59111.0,0.31539791721801547,0.11958769447804103
1208232103,2.8665354653009367,3.6170994997617907,3.0894213157058914,4.77113498491345,2.429902231221216,14.984838708909004,0.6471377878354773,0.16276686120374778,2.5013007027155787,0.4715355089725266,40.0,25188.0,0.9036158001034265,0.568450072335102
