show_id,nw,rp,pc,media,media_negw,rp_rate,pc_rate,media_rate,media_neg,antimedia_rate
1043245989,2515523,2770,2052,840,51.235,11.011626608065201,8.157349386191262,3.3392658306046097,0.06099404761904762,0.20367533908455618
1050430296,841625,433,497,491,24.372,5.14480914896777,5.905242833803653,5.83395217585029,0.049637474541751526,0.2895826526065647
1057255460,462616,255,876,1284,42.69,5.512131011465232,18.935791239386447,27.75520085773082,0.033247663551401865,0.9227955799194147
1060110806,1146770,794,1069,879,52.336,6.923794658039537,9.32183436957716,7.665006932514802,0.059540386803185436,0.45637747761102926
1072469956,1996475,1780,2078,3198,212.774,8.915713945829525,10.408344707547052,16.018232134136415,0.0665334584115072,1.0657483815224333
1093260018,1274959,640,1063,772,42.334,5.019769263168462,8.337523010543869,6.0550966736969585,0.05483678756476684,0.3320420499796464
1111319839,1096319,692,1279,993,41.307,6.312031443402879,11.666312451029308,9.057582692628698,0.04159818731117825,0.37677902143445474
1112258664,927332,845,391,284,15.324,9.112162634310042,4.2163971479470135,3.062549335081718,0.05395774647887324,0.16524826060138115
1138657182,1574541,1675,1314,674,52.601,10.63802085814215,8.345289198566439,4.280612572171827,0.07804302670623145,0.334071961289036
1147092464,1970175,854,875,806,54.869,4.334640323829102,4.441229839988833,4.091007144035428,0.06807568238213399,0.2784981029603969
1155629323,502204,260,393,330,24.464,5.177178994990084,7.825505173196549,6.571034878256644,0.07413333333333333,0.48713271897475924
1169056746,261483,163,233,455,24.401,6.233674846930776,8.910713124753807,17.400748805849712,0.05362857142857143,0.9331773002451402
1172546141,285058,110,125,59,3.887,3.8588638101719654,4.385072511559051,2.0697542254558723,0.06588135593220339,0.13635821481944024
1192761536,2277015,1879,3435,2176,146.912,8.252031716962778,15.085539620951113,9.556370950564665,0.06751470588235295,0.645195574030035
1195206601,1374130,1141,1525,1439,101.257,8.303435628361218,11.097931054558158,10.472080516399467,0.07036622654621265,0.7368807900271445
1200016351,2306529,2007,1591,2169,168.472,8.701386368868548,6.897810519616272,9.403740425548518,0.0776726602120793,0.7304135347962241
1208232103,1552582,1349,1303,2218,169.113,8.688752027268125,8.392471379933555,14.285879908436398,0.07624571686203788,1.0892371546237172
1218054701,2345646,1611,1410,393,27.7,6.868044027103834,6.011137230426074,1.6754446323102463,0.07048346055979643,0.11809113566156189
124960485,1270284,1063,1228,904,72.836,8.368207424481454,9.667129555280551,7.116518825711416,0.080570796460177,0.5733835898114122
1253076699,288975,169,213,97,7.08,5.848256769616748,7.370879833895666,3.356691755342158,0.07298969072164949,0.24500389307033482
1258635512,789364,595,792,467,28.159,7.537713906385394,10.033393972869296,5.916155284507528,0.06029764453961456,0.3567302283863971
1263295815,1148416,927,496,210,18.841,8.071987851092286,4.318992420864912,1.8286056620597413,0.08971904761904763,0.16406075847079804
1265845136,1224867,945,1111,768,42.234,7.715123356250107,9.070372538406211,6.270068505396912,0.054992187500000005,0.3448047828866318
1289062927,1505868,736,689,379,19.943,4.887546584428383,4.575434234607549,2.5168208634488547,0.05262005277044855,0.13243524664844464
1291144720,1997665,1696,1551,1223,74.076,8.489911972227576,7.764064545356704,6.122147607331559,0.060569092395748154,0.37081292408887373
1294461271,744368,552,506,272,17.274,7.415686864561615,6.79771295918148,3.6541065709434046,0.06350735294117647,0.2320626356855749
1303660358,179355,80,155,332,13.955,4.460427643500321,8.642078559281872,18.51077472052633,0.04203313253012048,0.7780658470630871
1309354521,1396288,983,1393,607,33.318,7.040094880139341,9.976451849475179,4.3472406838703765,0.05488962108731466,0.2386183939130036
1314170606,289202,270,546,304,17.456,9.3360350205047,18.879537485909502,10.511683874938624,0.05742105263157895,0.6035919530293705
1314368109,195233,138,320,234,12.539,7.068477152940332,16.390671658992076,11.985678650637956,0.053585470085470085,0.6422582247878177
1317356120,2452707,1551,1483,438,24.242,6.323625284226775,6.046380590914446,1.7857819951588185,0.05534703196347032,0.09883773316584493
1317481380,1627677,1295,901,1337,76.863,7.956123972999557,5.535496293183475,8.214160426177921,0.057489154824233356,0.47222514049163317
1351411911,1466448,882,1039,1370,66.767,6.014533075840398,7.085147240133983,9.342301943198803,0.04873503649635036,0.4552974261617186
1356662668,1009255,537,1742,676,20.448,5.320756399522421,17.260256327687255,6.698009918206995,0.030248520710059172,0.202604891727066
1362265400,1661217,1540,1492,3319,310.323,9.270312066394698,8.981367274714863,19.97932840802857,0.09349894546550165,1.8680461372596113
1364113251,1011859,934,1116,1173,71.835,9.2305350844337,11.029204661914358,11.592524254861598,0.06124040920716112,0.7099309291116648
1367201919,364325,302,694,445,23.487000000000002,8.289302134083579,19.04892609620531,12.21436903863309,0.05277977528089888,0.6446716530570233
1368074498,187419,109,377,103,6.567,5.815845778709736,20.11535650067496,5.4957074789642455,0.06375728155339806,0.35039136907143886
1378389941,808961,489,599,330,19.554,6.044790787194933,7.404559675929989,4.07930666620517,0.05925454545454545,0.24171746227568447
1386375601,799627,797,948,1292,108.626,9.96714718237378,11.85552763976204,16.157533449971048,0.08407585139318886,1.358458381220244
1408796715,435450,441,1385,354,23.395,10.127454357561144,31.806177517510623,8.129521184981055,0.06608757062146893,0.5372603054311631
1432118523,1531405,1651,1690,1518,120.273,10.780949520211832,11.035617619114474,9.912466003441285,0.07923122529644268,0.7853768271619853
1439837349,1694770,997,1132,485,27.287,5.882804156316197,6.679372422216584,2.8617452515680593,0.05626185567010309,0.16100709830832502
1441649707,669956,344,410,331,16.161,5.1346655601263365,6.119804882708714,4.940622966284353,0.048824773413897286,0.24122479685233064
1447684472,589854,484,526,283,19.105,8.20542032435145,8.917460931010046,4.797797421056736,0.06750883392226148,0.32389370929077366
1449848509,1725279,885,984,751,48.693,5.129605124736347,5.703425359028888,4.352919151047454,0.0648375499334221,0.28223261281218864
1452065072,978655,774,869,480,25.56,7.908813626865443,8.879533645666758,4.904690621311903,0.05325,0.2611747755848588
1456045551,1246354,928,1426,917,38.801,7.445717669297808,11.441372194416674,7.3574602400281135,0.04231297709923664,0.3113160466448537
1456850698,1467738,1066,1127,662,50.438,7.262876616943896,7.67848212691911,4.510341763993302,0.07619033232628399,0.3436444379037676
1462195742,1169772,751,1139,639,37.92,6.4200545063482455,9.73694019005413,5.462602968783661,0.05934272300469484,0.32416573486115247
1462703434,1356054,1207,1062,829,40.959,8.900825483350959,7.8315465313328225,6.113325870503682,0.04940772014475272,0.30204549376352274
1467297559,1475496,1046,1976,1158,64.401,7.089141549689054,13.392106789852361,7.848208331300119,0.0556139896373057,0.43647017680834105
1467993804,717547,445,864,407,27.406,6.201684349596612,12.041023096744881,5.6721023152490355,0.06733660933660933,0.3819401377192016
1471411980,326310,328,314,134,7.946,10.05179124145751,9.6227513713953,4.1065244705954465,0.05929850746268656,0.24351077196530904
1474001390,262166,126,106,132,10.18,4.80611520944745,4.043239779376425,5.034977838468756,0.07712121212121212,0.38830359390615105
1476110521,1544313,1439,1328,1952,150.114,9.318059227630668,8.599293018967009,12.63992467848163,0.07690266393442623,0.9720438797057332
1480605295,225910,55,136,50,2.02,2.43459784870081,6.020096498605639,2.213270771546191,0.0404,0.08941613917046612
1482179882,1047513,941,1290,666,38.65,8.983182070294117,12.31488296565293,6.357916321802212,0.05803303303303303,0.3689691679244076
1484862164,1364331,1054,1402,1092,70.179,7.7253980155841955,10.27609868866133,8.003922801724801,0.06426648351648352,0.5143839728042535
1485021241,378107,224,275,194,10.287,5.924248955983359,7.273073495068856,5.130822756521303,0.05302577319587629,0.2720658437955394
1485186805,1504344,1037,509,333,20.09,6.893370133426929,3.383534617082263,2.2135894449673743,0.06033033033033033,0.1335465824306143
1485351658,826787,808,1153,611,36.969,9.772770979708195,13.945550667826174,7.390053302724885,0.060505728314238956,0.44714055736241626
1490993194,1434715,694,809,475,25.967,4.837197631585367,5.6387505532457665,3.3107620677277367,0.05466736842105263,0.1809906497109182
1493858530,961854,434,438,192,11.724,4.512119302929551,4.553705655951943,1.9961449450748243,0.0610625,0.12188960070863146
1494037881,8908,7,4,1,0.025,7.858105074090704,4.49034575662326,1.122586439155815,0.025,0.028064660978895376
1495251160,1127665,1100,1479,949,45.697,9.754670048285616,13.115597274013115,8.415619887111864,0.048152792413066386,0.4052355974513708
1495601614,923734,995,904,1240,98.778,10.771499154518509,9.786367071039932,13.423777840806986,0.07965967741935484,1.069333812547768
1502568407,167823,250,208,54,3.726,14.896647062679133,12.394010356149039,3.2176757655386923,0.069,0.22201962782216977
1506127536,817789,771,842,216,13.919,9.427859753555012,10.296054361210532,2.641268102163272,0.06443981481481481,0.17020282737967862
1507444393,409800,584,1065,367,36.362,14.250854075158614,25.988286969253295,8.955588091752073,0.09907901907356949,0.8873108833577356
1509826894,542062,324,636,718,37.807,5.977176042592913,11.732975194719423,13.245717279573187,0.05265598885793872,0.6974663414886121
1510240831,851855,750,875,797,56.434,8.804315288400021,10.271701169800025,9.356052379806423,0.07080803011292346,0.6624836386474223
1515399733,970023,947,1498,697,41.04,9.762655112301461,15.442932796438848,7.185396634925151,0.05888091822094691,0.423082751646095
1517313007,182422,122,148,110,7.163,6.687789849908453,8.113056539233206,6.029974454835491,0.06511818181818183,0.3926609729089693
1529346075,1427820,846,1115,1001,52.584,5.925116611337564,7.809107590592652,7.010687621689008,0.052531468531468534,0.3682817161827121
1531192509,292822,319,267,123,8.686,10.893990205653946,9.118167350813804,4.200504060487258,0.07061788617886179,0.29663071763733595
1535255041,1000378,789,640,465,32.036,7.887018706928781,6.397581714112065,4.6482429641595475,0.06889462365591398,0.3202389496770221
1535384390,1596402,882,1425,2113,130.071,5.524924173234561,8.926323069001416,13.236014487578943,0.06155750118315192,0.8147759774793567
1536169792,1272151,635,913,892,38.858,4.991545814922914,7.176820990589953,7.011746247104314,0.04356278026905829,0.30545116106499937
1536984072,1193035,994,709,951,53.834,8.331691861512864,5.942826488745092,7.971266559656674,0.05660778128286015,0.4512357139564221
1538788132,821833,776,863,954,64.57600000000001,9.44230762210814,10.500916852937275,11.608197772540164,0.06768972746331238,0.7857557435634734
1548086514,541521,476,257,22,1.479,8.790056156640278,4.74589166440452,0.4062630996766515,0.06722727272727273,0.027311960200989437
1548554104,1092916,277,527,164,8.598,2.534504024097003,4.8219625295997135,1.5005727796097779,0.05242682926829269,0.07867027292124922
1549272440,247110,75,98,137,5.036,3.0350855894136215,3.965845170167132,5.544089676662215,0.03675912408759124,0.20379588037715995
1549502623,1084694,871,658,802,49.285000000000004,8.029914427479087,6.066226972768357,7.393790322431949,0.06145261845386534,0.4543677756122925
1549624070,1441726,954,1351,614,23.656,6.617068707923697,9.370712604198024,4.258784262751729,0.03852768729641694,0.16408110833820017
1551206847,1183877,727,1010,587,31.997,6.1408406447629265,8.531291679794439,4.958285362415183,0.05450936967632027,0.2702730097805769
1551582052,1003362,715,1101,508,30.061,7.126042245969052,10.97310840952717,5.062978267066124,0.0591751968503937,0.299602735602903
1556687660,2850,0,2,4,0.054,0.0,7.017543859649122,14.035087719298245,0.0135,0.18947368421052632
1567204040,225132,269,234,162,10.206,11.94854574205355,10.393902244016843,7.195778476627046,0.063,0.4533340440275038
1568505052,1397632,1941,1664,1232,94.992,13.8877758952285,11.905852184265958,8.814909790273834,0.0771038961038961,0.6796638886344905
1570045623,1578948,1497,1470,2016,128.469,9.480996207601518,9.30999627600149,12.767994892802044,0.06372470238095237,0.8136366745453301
1570380458,901684,628,777,532,37.767,6.964745964218063,8.617209576747507,5.900071421917213,0.07099060150375941,0.418849619157044
1570432345,764997,584,862,494,32.764,7.634016865425616,11.268018044515207,6.457541663562079,0.06632388663967612,0.4282892612650769
1573813504,449713,214,335,635,27.261,4.7585904788164894,7.449195375717402,14.120116607703135,0.04293070866141732,0.6061866123505436
1574741668,86572,46,27,24,1.675,5.313496280552603,3.118791295106963,2.772258928983967,0.06979166666666667,0.19348057108533936
1576614213,368845,301,331,202,16.035,8.160609470102617,8.973959251175968,5.476555192560561,0.07938118811881188,0.43473545798370594
1579061364,1893974,1448,1779,1261,107.325,7.645300305072826,9.392948372047346,6.657958345785106,0.08511102299762094,0.5666656458853184
158004641,1798789,1402,1868,1383,80.583,7.7941326081046745,10.384764416504659,7.6885059893072505,0.05826681127982646,0.447984727502781
1584730781,1377862,1519,1585,1657,122.811,11.024326093614599,11.503329070690679,12.025877772955493,0.07411647555823778,0.8913156760256107
1585243541,827411,684,789,693,39.74,8.2667501398942,9.535768801720064,8.375523168050702,0.057344877344877344,0.48029334877104607
1586423406,777599,734,2579,622,30.349,9.439312550556263,33.16619491537412,7.998981480171657,0.04879260450160772,0.39029113977770036
1587492577,223496,212,410,156,15.422,9.485628378136521,18.344847335075347,6.9799906933457425,0.09885897435897437,0.6900347209793464
1587936366,158508,90,97,37,3.5229999999999997,5.677946854417443,6.119564943094355,2.3342670401493932,0.0952162162162162,0.22226007520125166
1592116227,861706,645,964,720,53.553,7.485151548207857,11.187110220887401,8.355518007301795,0.07437916666666666,0.6214764664514346
1594728054,548312,811,801,575,40.443,14.7908490056756,14.60847108945272,10.486730182815624,0.07033565217391304,0.7375910065801952
1595408601,909044,943,1699,533,35.703,10.37353527442016,18.689964402163152,5.863302546411394,0.06698499061913697,0.39275326606852917
1599294971,5472,2,2,11,0.504,3.654970760233918,3.654970760233918,20.10233918128655,0.04581818181818182,0.9210526315789475
1599891719,618611,175,630,268,14.383000000000001,2.8289183347855116,10.184106005227841,4.332286364128668,0.053667910447761195,0.23250475662411435
1606834013,141565,100,127,98,6.103,7.063892911383464,8.971143997456998,6.922615053155794,0.06227551020408163,0.43110938438173274
1607829807,638486,361,747,818,55.315,5.654000244327989,11.699551752113594,12.811557340333225,0.06762224938875305,0.8663463255263232
1612691018,1039387,1107,1325,927,64.712,10.650508424677238,12.747898520955141,8.918718436924841,0.06980798274002158,0.6225977427079616
1614844654,768272,961,565,485,27.249,12.508590707457776,7.3541662327925525,6.3128683591228105,0.05618350515463917,0.354679071995335
1617887885,312049,220,165,207,17.47,7.050174812289096,5.287631109216822,6.633573573381104,0.08439613526570047,0.5598479725940476
1623855270,482951,241,183,91,6.282,4.990154280662013,3.7892042878055956,1.8842491267230008,0.06903296703296703,0.13007530784696586
1633301179,730610,428,309,2021,149.403,5.858118558464845,4.22934260412532,27.661816837984695,0.07392528451261751,2.0449076798839325
1634341981,435801,204,169,465,46.747,4.681035610290018,3.877916755583397,10.670007641102245,0.10053118279569892,1.0726684885991542
1635418897,642837,454,528,406,27.669,7.062443512118935,8.213590692508365,6.31575344916363,0.06815024630541872,0.43042015316479915
1635446643,447182,411,550,395,26.769000000000002,9.190888720923471,12.299242813887858,8.833092566337644,0.06776962025316456,0.5986153288817528
1636762428,1347591,1122,886,435,26.623,8.325968339058365,6.574695141181561,3.227982377442414,0.06120229885057472,0.19755994214861927
1640311112,882659,574,694,447,39.858,6.503077632471884,7.862606057378898,5.064243382778627,0.08916778523489932,0.45156736633286465
1645614328,844090,635,1073,734,44.316,7.522894478076982,12.711914606262365,8.695755191981897,0.060376021798365126,0.5250151050243458
1647025876,97606,138,163,90,6.822,14.138475093744237,16.699793045509498,9.220744626354938,0.0758,0.6989324426777043
1647085571,716082,661,1171,495,28.511,9.23078641831522,16.352875787968415,6.912616152898691,0.057597979797979794,0.39815272552584763
