show_id,vimp,pp2,episodes,words,vimp_z,pp2_z,mfte_z
1788738240,105.26315789473684,421.05263157894734,1.0,665.0,5.346045911710463,4.1454449682546315,4.745745439982548
1493858530,57.01559097367423,431.6702556371139,288.0,2304282.0,1.7729139739699367,4.36197217457284,3.0674430742713885
HOLDOUT_bongino,77.60222351566834,354.96917311988744,50.0,733613.0,3.2975246211073643,2.7977925588646038,3.047658589985984
1709994511,76.69774773063922,312.0133692886171,42.0,421264.0,3.2305406979659543,1.921786764368231,2.5761637311670924
1456850698,72.63460268180818,316.5699463884426,229.0,2357141.0,2.9296311543737663,2.014709898997383,2.4721705266855745
929121341,65.76587469140662,313.0197498508745,481.0,7964769.0,2.42094495690581,1.9423100726380258,2.181627514771918
1556687660,37.54266211604096,389.07849829351534,1.0,2930.0,0.3307823088354712,3.493390448635845,1.9120863787356581
1640311112,54.61925107984886,321.35658397644966,186.0,1926427.0,1.5954451573077806,2.112324700473776,1.8538849288907784
1253076699,51.92565899511424,330.0391366836856,157.0,909377.0,1.3959623539374675,2.2893896324311664,1.8426759931843169
1485351658,67.62924951118235,266.1265732548874,225.0,2154689.0,2.558943295587124,0.9860086940913021,1.772475994839213
1635418897,48.391414865942444,334.8056426903823,137.0,1042127.0,1.1342223040324273,2.3865938867798753,1.7604080954061514
HOLDOUT_beck,58.01814375436148,293.635729239358,50.0,716500.0,1.8471613109559673,1.5470080910239747,1.697084700989971
354628391,54.590630404102896,293.7738254106807,1829.0,16047992.0,1.5933255592199655,1.549824312244083,1.5715749357320243
1386375601,66.01359729542405,250.86724508964923,378.0,2311342.0,2.439290867479147,0.6748223420589505,1.5570566047690488
1648125917,55.54194660800285,288.2454367084845,199.0,2102375.0,1.6637784033313872,1.4370828406521419,1.5504306219917645
1510240831,62.403648400944626,255.1983275903545,222.0,1475715.0,2.1719442526834376,0.7631469228760767,1.4675455877797572
1072469956,50.91592291128167,293.5542147932847,209.0,3281881.0,1.3211830338583,1.5453457515790918,1.4332643927186959
1865794721,56.064416933925074,266.7075437530262,38.0,1294939.0,1.7024716582913468,0.9978565348347818,1.3501640965630644
1495601614,59.64142763048372,247.92288434179298,346.0,2486862.0,1.9673789267226083,0.614777439015322,1.291078182868965
1507444393,68.7545983803447,210.80983619725376,87.0,1170249.0,2.6422846999750993,-0.142075938789988,1.2501043805925556
1790957194,58.84272808159164,246.55712484544475,247.0,1476818.0,1.908228609951725,0.5869252484850508,1.2475769292183878
1839861250,44.63741139157582,297.4170842011575,41.0,442678.0,0.856207254473678,1.6241219746471367,1.2401646145604073
1843478428,46.45837956848065,285.349479054134,35.0,1022851.0,0.9910650300202278,1.3780250310068625,1.1845450305135452
1607829807,59.173017964626965,236.16233718936027,90.0,1208152.0,1.9326893113942862,0.3749423868662303,1.1538158491302584
