show_id,nw,imp_other,imp_all,you_deontic,you_all,imp_attention,you_other,you_know,imp_action,imp_epistemic,you_addressive,imp_other_rate,imp_all_rate,you_deontic_rate,you_all_rate,imp_attention_rate,you_other_rate,you_know_rate,imp_action_rate,imp_epistemic_rate,you_addressive_rate
702998658,75199,138,417,113,1691,55.0,1166,390,198,26.0,22.0,18.351307863136476,55.45286506469501,15.026795569090014,224.87001156930276,7.3139270469022195,155.05525339432705,51.86239178712483,26.33013736884799,3.4574927858083218,2.925570818760888
716825890,74777,178,491,160,1916,68.0,1433,306,219,26.0,17.0,23.804110889712078,65.66190138679005,21.396953608729955,256.2285194645412,9.093705283710232,191.63646575818768,40.921673776696046,29.287080251949128,3.477004961418618,2.273426320927558
791564318,70961,128,254,92,1112,18.0,698,316,96,12.0,6.0,18.03807725370274,35.79430955031637,12.964868026098843,156.70579614154252,2.5366046138019476,98.36389002409774,44.53150322007863,13.528557940277054,1.6910697425346317,0.8455348712673159
925428680,72971,106,304,103,1538,27.0,931,496,153,18.0,8.0,14.526318674541942,41.660385632648584,14.115196447903962,210.7686615230708,3.7001000397418156,127.5849309999863,67.97220813747927,20.967233558536954,2.466733359827877,1.0963259377012786
929121341,76109,199,783,166,2330,134.0,1864,256,394,56.0,44.0,26.146710638689246,102.87876598037026,21.810823949861383,306.13987833239173,17.606327766755573,244.91190266591335,33.63596946484647,51.76785925449027,7.357868320435165,5.781182251770487
956270301,72233,156,353,120,1301,34.0,841,333,149,14.0,7.0,21.596777096341008,48.86963022441266,16.61290545872385,180.1115833483311,4.706989879971758,116.42877908988967,46.10081264795868,20.627690944582117,1.9381723035177827,0.9690861517588913
969924303,74001,171,578,134,1518,99.0,1236,116,255,53.0,32.0,23.10779584059675,78.1070526073972,18.107863407251255,205.13236307617464,13.378197591924433,167.02476993554143,15.675463845083176,34.45899379738112,7.162065377494899,4.3242658882988065
983782306,73759,167,420,127,1844,43.0,1277,426,188,22.0,14.0,22.64130478992394,56.94220366328177,17.218237774373296,250.00338941688472,5.829797041716943,173.13141447145432,57.75566371561436,25.48841497308803,2.9826868585528548,1.8980734554427257
1043245989,70296,116,250,78,987,16.0,536,357,99,19.0,16.0,16.501650165016503,35.56390121770798,11.095937179924888,140.4062820075111,2.2760896779333106,76.2490042107659,50.785250938886996,14.08330488221236,2.7028564925458065,2.2760896779333106
1050430296,74971,182,460,106,1861,59.0,1425,314,192,27.0,16.0,24.276053407317495,61.35705806245081,14.138800336129972,248.22931533526295,7.869709621053475,190.0734950847661,41.88286137306425,25.609902495631644,3.6013925384482,2.134158541302637
