show_id,nw,horse,strat,horse_rate,strat_rate,game_rate
1043245989,2515523,4283,3437,17.026280419618505,13.663162690223862,30.689443109842365
1050430296,841625,1067,496,12.677855339373236,5.893361057478092,18.571216396851327
1057255460,462616,1510,748,32.64046206789216,16.16891763363135,48.80937970152351
1060110806,1146770,2303,1380,20.082492566076894,12.033799279716073,32.116291845792965
1072469956,1996475,4640,1526,23.24096219587022,7.643471618728008,30.88443381459823
1093260018,1274959,2131,775,16.71426296845624,6.0786268421180605,22.7928898105743
1111319839,1096319,3993,2627,36.421880857670075,23.96200375985457,60.38388461752464
1112258664,927332,1307,1633,14.094197116027486,17.60965867671988,31.70385579274737
1138657182,1574541,2193,1326,13.927868502630291,8.421501885311338,22.34937038794163
1147092464,1970175,2433,1004,12.349156800791807,5.09599401068433,17.445150811476136
1155629323,502204,683,234,13.600050975300874,4.659461095491076,18.25951207079195
1169056746,261483,856,1138,32.7363537973788,43.52099371660873,76.25734751398753
1172546141,285058,528,451,18.52254628882543,15.821341621705056,34.34388791053048
1192761536,2277015,8320,3946,36.53906539921784,17.32970577708096,53.8687711762988
1195206601,1374130,2364,1941,17.203612467524906,14.12530109960484,31.328913567129746
1200016351,2306529,3566,1925,15.460460284696182,8.345873821660165,23.806334106356346
1208232103,1552582,2411,1098,15.528970450514048,7.072090234203411,22.60106068471746
1218054701,2345646,2763,1542,11.779271040898754,6.573881992423409,18.353153033322165
124960485,1270284,2305,1458,18.145548554496475,11.47774828306111,29.623296837557586
1253076699,288975,473,125,16.368197940998357,4.3256337053378315,20.69383164633619
1258635512,789364,1811,1007,22.942520814225126,12.757105720554776,35.6996265347799
1263295815,1148416,1584,784,13.792911279536336,6.826794471689701,20.619705751226036
1265845136,1224867,1870,997,15.266963678505503,8.139659244636357,23.40662292314186
1289062927,1505868,1894,1457,12.577463628950214,9.675482844445861,22.252946473396076
1291144720,1997665,3045,1390,15.242795964288307,6.958123609313874,22.20091957360218
1294461271,744368,1231,537,16.537519076585774,7.214173634546353,23.751692711132126
1303660358,179355,433,123,24.142064620445485,6.857907501881743,30.99997212232723
1309354521,1396288,3333,1496,23.87043360682037,10.714122014942475,34.584555621762846
1314170606,289202,701,332,24.239113145828867,11.479865284472444,35.71897843030131
1314368109,195233,642,271,32.88378501585285,13.880850061208914,46.76463507706177
1317356120,2452707,2745,1204,11.191715928563827,4.908861922765336,16.100577851329163
1317481380,1627677,1895,1624,11.642359018404758,9.977409522896743,21.6197685413015
1351411911,1466448,3598,1496,24.535476198269563,10.201520954033146,34.736997152302706
1356662668,1009255,5155,2295,51.07727977567611,22.739545506338835,73.81682528201495
1362265400,1661217,4719,1624,28.406884832023753,9.775965451834407,38.18285028385816
1364113251,1011859,1927,1108,19.044155361567174,10.950142262904217,29.994297624471393
1367201919,364325,985,435,27.036300006862007,11.939888835517738,38.97618884237974
1368074498,187419,398,76,21.23584054978417,4.055085130109541,25.29092567989371
1378389941,808961,1301,565,16.082357493130075,6.984267473957336,23.06662496708741
1386375601,799627,1541,675,19.27148533003513,8.441435819450819,27.71292114948595
1408796715,435450,1448,748,33.25295671144793,17.17763233436675,50.43058904581468
1432118523,1531405,3251,1560,21.228871526474055,10.186723956105668,31.415595482579725
1439837349,1694770,1953,826,11.523687580025609,4.873817686175705,16.397505266201314
1441649707,669956,879,394,13.120264614392587,5.88098322874935,19.001247843141936
1447684472,589854,1388,748,23.53124671528887,12.68110413763406,36.21235085292293
1449848509,1725279,1699,1050,9.847682606697237,6.085972181890581,15.933654788587818
1452065072,978655,1721,656,17.585359498495382,6.7030771824596,24.28843668095498
1456045551,1246354,2654,1445,21.29411066197886,11.593816844973418,32.88792750695228
1456850698,1467738,2414,616,16.44707706688796,4.1969343302415005,20.64401139712946
1462195742,1169772,2588,1010,22.12396945729595,8.634161186966349,30.758130644262298
1462703434,1356054,1984,1139,14.630685798648136,8.399370526542453,23.03005632519059
1467297559,1475496,8124,3535,55.05945119471689,23.958045294599238,79.01749648931613
1467993804,717547,1728,669,24.082046193489763,9.323431078382322,33.40547727187209
1471411980,326310,322,233,9.86791701143085,7.140449266035365,17.008366277466216
1474001390,262166,226,169,8.620492359802567,6.44629738410015,15.066789743902717
1476110521,1544313,2629,1766,17.023751014205022,11.43550562612631,28.459256640331333
1480605295,225910,382,189,16.9093886946129,8.366163516444601,25.2755522110575
1482179882,1047513,2813,1056,26.85408200184628,10.081020474208913,36.93510247605519
1484862164,1364331,5017,1622,36.77260137019535,11.888610608422736,48.66121197861809
1485021241,378107,457,171,12.086525771805336,4.522529336933725,16.60905510873906
1485186805,1504344,1334,470,8.867652611370804,3.1242854028068052,11.99193801417761
1485351658,826787,1882,918,22.7628155740233,11.10322247447045,33.86603804849375
1490993194,1434715,2757,899,19.21636004363236,6.266052839762601,25.48241288339496
1493858530,961854,1075,304,11.176332374767895,3.1605628297018047,14.3368952044697
1494037881,8908,27,6,30.309833857207003,6.73551863493489,37.045352492141895
1495251160,1127665,2515,959,22.30272288312575,8.504298705732642,30.80702158885839
1495601614,923734,1831,725,19.82172356977225,7.848579785955697,27.670303355727945
1502568407,167823,211,69,12.572770120901188,4.111474589299441,16.68424471020063
1506127536,817789,1307,464,15.98211763670091,5.673835182424807,21.655952819125716
1507444393,409800,696,359,16.983894582723277,8.760370912640312,25.74426549536359
1509826894,542062,2619,621,48.315506344292714,11.456254081636418,59.77176042592913
1510240831,851855,1622,838,19.040799197046447,9.837354948905624,28.87815414595207
1515399733,970023,3118,1455,32.14356772983733,14.999644338330121,47.14321206816745
1517313007,182422,480,241,26.312615802918508,13.211125851048669,39.52374165396718
1529346075,1427820,3236,1434,22.66392122256307,10.043282766735302,32.70720398929837
1531192509,292822,632,454,21.583077774210953,15.504299540335083,37.08737731454603
1535255041,1000378,1751,989,17.50338372095348,9.8862629925888,27.38964671354228
1535384390,1596402,4583,1860,28.7083078071814,11.651200637433428,40.359508444614825
1536169792,1272151,2394,960,18.818520757362922,7.546273987914957,26.36479474527788
1536984072,1193035,1501,632,12.58135762991027,5.297413738909588,17.87877136881986
1538788132,821833,2059,1160,25.05375179628951,14.114789744388458,39.16854154067797
1548086514,541521,540,56,9.971912446608718,1.0341242537223856,11.006036700331103
1548554104,1092916,1229,626,11.245146013051322,5.7277960977787865,16.972942110830108
1549272440,247110,751,353,30.391323701995063,14.285136174173445,44.67645987616851
1549502623,1084694,1632,1016,15.04571796285404,9.366696967070897,24.412414929924935
1549624070,1441726,2031,541,14.087281494541958,3.752446720111866,17.839728214653825
1551206847,1183877,1368,500,11.555254473226526,4.223411722670514,15.77866619589704
1551582052,1003362,2121,1094,21.138930914266236,10.903342960965235,32.04227387523147
1556687660,2850,0,1,0.0,3.508771929824561,3.508771929824561
1567204040,225132,327,231,14.524812110228666,10.260647087042269,24.785459197270935
1568505052,1397632,3216,1135,23.01034893305248,8.120878743474679,31.13122767652716
1570045623,1578948,4374,2105,27.70198891920443,13.331661334002135,41.03365025320657
1570380458,901684,1861,693,20.63915961689461,7.685619352234265,28.324778969128875
1570432345,764997,1434,738,18.74517154969235,9.647096655281,28.39226820497335
1573813504,449713,1508,406,33.532497392781615,9.02798006728736,42.560477460068974
1574741668,86572,88,71,10.164949406274546,8.201265998244237,18.366215404518783
1576614213,368845,657,284,17.81236020550638,7.699711260827718,25.5120714663341
1579061364,1893974,4381,2221,23.131257345665784,11.726665730363774,34.85792307602956
158004641,1798789,3275,1365,18.206693503240235,7.588438666236006,25.79513216947624
1584730781,1377862,3599,1302,26.120177492375866,9.449422365955371,35.56959985833124
1585243541,827411,1598,752,19.313255443787913,9.088590797076664,28.40184624086458
1586423406,777599,2823,1119,36.30405903299773,14.390450605003348,50.69450963800108
1587492577,223496,354,169,15.839209650284568,7.561656584457888,23.400866234742455
1587936366,158508,194,193,12.23912988618871,12.176041587806294,24.415171473995002
1592116227,861706,1826,556,21.19052205740705,6.452316683416385,27.642838740823436
1594728054,548312,1345,510,24.529829731977415,9.301273727366901,33.83110345934432
1595408601,909044,2084,965,22.925182939439676,10.615547762264532,33.540730701704206
1599294971,5472,3,4,5.482456140350877,7.309941520467836,12.792397660818713
1599891719,618611,1170,689,18.91333972399456,11.137855615241243,30.051195339235804
1606834013,141565,375,136,26.48959841768799,9.60689435948151,36.0964927771695
1607829807,638486,1591,603,24.918322406442744,9.44421647459772,34.362538881040464
1612691018,1039387,2202,1207,21.18556418350432,11.61261397342857,32.79817815693289
1614844654,768272,1860,719,24.2101755628215,9.358664639606806,33.568840202428305
1617887885,312049,469,377,15.02969084983448,12.08143592833177,27.111126778166252
1623855270,482951,743,800,15.384583529177908,16.564827487674734,31.949411016852643
1633301179,730610,1354,439,18.532459177947196,6.008677680294548,24.541136858241742
1634341981,435801,436,615,10.004566304345332,14.111945589844906,24.11651189419024
1635418897,642837,1095,457,17.033867061167918,7.109111641053643,24.142978702221562
1635446643,447182,871,397,19.477528165266044,8.877817085660872,28.355345250926916
1636762428,1347591,1368,444,10.151448028370627,3.294768219734326,13.446216248104953
1640311112,882659,1519,426,17.20936397861462,4.8263259084199,22.03568988703452
1645614328,844090,2455,1071,29.084576289258255,12.688220450425902,41.77279673968415
1647025876,97606,371,86,38.00995840419646,8.810933754072495,46.820892158268954
1647085571,716082,1998,864,27.90183247170017,12.065657285059531,39.967489756759704
1648125917,819823,845,711,10.307102874644892,8.672603720559193,18.979706595204085
1654162813,1389630,1998,959,14.37792793765247,6.901117563668027,21.279045501320496
1659250199,9149,7,14,7.651109410864575,15.30221882172915,22.953328232593726
1660317917,490394,1280,363,26.101461273996012,7.402211283172306,33.503672557168315
1669610956,967573,1506,1177,15.5647170807784,12.164456842016056,27.72917392279446
1671451793,687413,700,249,10.183106807697847,3.6222765644525197,13.805383372150366
1674095262,396267,528,580,13.324349491630644,14.636596032473054,27.9609455241037
1679657705,652426,689,381,10.560584648680463,5.839742744771055,16.40032739345152
1681586867,284133,653,237,22.982194957995024,8.34116417311611,31.323359131111133
1692806415,606599,1577,978,25.997405205086064,16.122677419514375,42.12008262460044
1695205478,317724,586,309,18.443680678828166,9.725422064433282,28.169102743261448
1696250206,1624,2,0,12.31527093596059,0.0,12.31527093596059
1696974077,591742,1595,680,26.954314549246128,11.491494604067313,38.44580915331344
1702202187,361212,1891,682,52.35152763474082,18.880878819086853,71.23240645382768
1709994511,162113,880,183,54.2831235002745,11.288422273352538,65.57154577362704
1714009198,792715,1579,929,19.918886358905787,11.719218130097197,31.638104489002984
1714879044,709379,1469,633,20.708253275047614,8.92329770122882,29.631550976276436
1715894000,112059,288,170,25.700746927957596,15.17057978386386,40.87132671182145
1721813926,826247,820,682,9.924393068900704,8.254190332914975,18.17858340181568
1721969693,363149,1323,587,36.43132708612718,16.164164020828917,52.5954911069561
1722246285,379113,1175,523,30.993397746845925,13.795359167319507,44.78875691416543
1725387804,525339,810,308,15.418615408336331,5.862880920700729,21.28149632903706
1725442221,306546,639,446,20.84515863850776,14.549203055985071,35.39436169449283
1728152109,242879,864,392,35.57326899402583,16.139723895437648,51.71299288946348
1728340033,471523,464,221,9.84045316983477,4.6869399795980256,14.527393149432797
1730358737,99556,244,150,24.50881915705733,15.066897022781149,39.57571617983848
1743030473,419375,1067,806,25.442622950819672,19.219076005961252,44.661698956780924
1750591415,545362,629,404,11.533623538126967,7.407923544361361,18.941547082488327
1751785203,356471,453,170,12.707906112979737,4.768971388976944,17.47687750195668
1763234285,4787,8,5,16.711928138709002,10.444955086693128,27.15688322540213
1767877239,307587,309,200,10.045938222356602,6.502225386638576,16.54816360899518
1774505095,385554,952,430,24.691742272159022,11.152782748979389,35.84452502113841
1785081636,114217,202,102,17.68563348713414,8.930369384592487,26.61600287172663
1788738240,654,1,0,15.290519877675841,0.0,15.290519877675841
1788891712,323729,1703,374,52.605728865810605,11.552872927664806,64.15860179347541
1790957194,853677,1574,748,18.437886929131274,8.762096202662132,27.199983131793406
1794450472,117047,325,136,27.766623663998224,11.619264056319256,39.385887720317484
1795032531,332923,537,259,16.129855852554495,7.779576658867065,23.90943251142156
1798460240,99461,385,181,38.708639567267575,18.198087692663456,56.90672725993103
1800671132,738276,1180,589,15.983182441255034,7.9780461507620455,23.96122859201708
1801103648,6614,12,5,18.143332325370427,7.559721802237678,25.703054127608105
1805186512,537824,559,382,10.39373475337657,7.102695305527458,17.49643005890403
1809246826,75112,128,53,17.04121844711897,7.056129513260198,24.097347960379167
1810218232,437008,1201,563,27.482334419507197,12.883059349027937,40.365393768535135
1818418128,203155,321,199,15.800743274839409,9.795476360414462,25.59621963525387
1818658022,177646,265,125,14.91730745415039,7.0364657802596176,21.953773234410008
1820648828,548931,1059,414,19.292042169234385,7.54193149958738,26.833973668821766
