show_id,nw,imper_syn,imper_rx,you_rx,lean,solo,n_hosts,ep_len,words,avg_host_cfscore,show,side,inten,dir_z
1043245989,2463583,2859.731793996438,1446.9471353019069,12564.81746120294,L,solo,1.0,141.5,2515523,-1.026,The Dig,-0.4956521739130435,0.5209486166007905,-1.4061932899868745
1050430296,783245,4077.381991568909,1930.272589432148,19237.44317081384,L,solo,1.0,37.0,841625,,The New Yorker Radio Hour,-0.3574730354391371,0.4067796610169492,-0.19050195339274287
1057255460,456127,4963.260714245602,1812.2666001351795,14950.018776252276,L,multi,2.0,24.0,462616,,The NPR Politics Podcast,-0.112781954887218,0.1407089151450053,-0.408640193603148
1060110806,1140008,3195.1397437805126,1404.1984220064744,15074.928825349432,L,multi,3.0,51.0,1146770,,The Nation Podcasts,-0.4978687127024723,0.5234441602728048,-1.1255052367206255
1072469956,1973746,6295.873409565102,2678.855719205921,23886.758580669517,R,solo,1.0,158.0,1996475,1.057,Fox Across America w/ Jimmy Failla,0.7215041128084606,0.7661574618096357,1.2819716867972026
1093260018,1166123,4833.396298075254,1584.5351458745304,20268.875091895265,L,,0.0,50.0,1274959,,Slate News,-0.3258293838862559,0.3661137440758293,-0.12333538875442289
1111319839,1094330,4146.774583387448,1989.097292508608,18607.253146859923,L,solo,1.0,47.0,1096319,,The Conversation with Dasha Burns,-0.057471264367816,0.2137931034482758,-0.18961974730476705
1112258664,927332,2957.577451857442,1521.2853214867614,13399.57150927983,L,multi,2.0,56.0,927332,-1.108,Russian Roulette,-0.0406574394463667,0.0527681660899653,-1.2595363527791834
1138657182,1550350,4831.335265581709,2130.0288957586563,23531.60674921754,R,solo,1.0,91.5,1574541,,Liberty Lockdown,0.413151364764268,0.6588089330024814,0.5125151785204033
1147092464,1891775,5205.260317916672,1891.8622006598189,19311.591484317985,L,multi,2.0,95.0,1970175,-1.015,Opening Arguments,-0.3185929648241206,0.4070351758793969,0.08825813651757701
1155629323,493562,3802.189166310243,1530.7024546118516,16523.062077441562,R,multi,4.0,94.0,502204,-1.019,The Reason Roundtable,0.0173611111111111,0.5520833333333334,-0.7575279453984489
1169056746,258098,4054.924257852946,1448.509467662703,11446.772706579704,L,multi,2.0,9.0,261483,-1.088,The Playbook Podcast,-0.0680885972108285,0.1041837571780147,-1.188440289601037
1172546141,284954,3212.0008856809663,1938.785337811605,10962.0409008574,L,solo,1.0,47.0,285058,,The President’s Inbox,-0.0586510263929618,0.1114369501466275,-1.1377021800597789
1192761536,2212933,4607.970427143058,2136.903335907084,16914.33670648471,L,multi,4.0,104.0,2277015,-0.975875,Pod Save America,-0.515713134568896,0.5495568090249798,-0.12147138576817222
1195206601,1352602,3601.1811245170466,1793.2164596369385,14494.556373980393,L,multi,3.0,67.0,1374130,-1.137,The Intercept Briefing,-0.5233941316415543,0.5773195876288659,-0.8193934474330692
1200016351,2250738,4212.816733152263,2223.735257472404,17246.030415379162,L,multi,2.0,118.0,2306529,-0.9536,Pod Save the World,-0.3988718775181305,0.4246575342465753,-0.14064587450482344
1208232103,1485482,5710.90931352221,2430.510694092148,19006.64591890077,R,solo,1.0,46.0,1552582,,The Buck Sexton Show,0.7339130434782609,0.7947826086956522,0.5408941976497402
1218054701,2343627,3953.47073491578,1795.491222532523,19056.851041584887,L,solo,1.0,113.0,2345646,,Rev Left Radio,-0.5517587939698493,0.5738693467336683,-0.3255743497510022
124960485,1261419,4003.908741881413,1705.1415356461368,13581.452498564651,L,solo,1.0,88.5,1270284,-1.331,"Best of the Left - Leftist Perspectives on Progressive Politics, News, Culture, Economics and Democracy",-0.6195028680688337,0.6730401529636711,-0.8499486096237862
1253076699,273458,6111.390408865961,2144.2547719472745,26943.70509880812,R,solo,1.0,42.0,288975,0.405,The Michael Berry Show,0.5792682926829268,0.7378048780487805,1.1575389676300853
1258635512,786412,3815.551342922129,1884.8180850868755,17157.2662039475,L,multi,2.0,42.0,789364,,Radio Atlantic,-0.2685475444096133,0.329153605015674,-0.47085343277353964
1263295815,1123281,3171.7333256628385,1690.9085752935662,19420.99809553497,R,solo,1.0,333.0,1148416,,The Pete Quiñones Show,0.1625,0.2625,-0.5667196497457608
1265845136,1213648,4533.141323741772,2049.27975678497,18657.40417333296,L,solo,1.0,57.5,1224867,-0.842667,Stay Tuned with Preet,-0.2465397923875432,0.305363321799308,-0.04482018647589875
1289062927,1502645,3534.9700159659383,1693.7768595308946,18687.04470010169,L,solo,1.0,74.0,1505868,,ChinaTalk,-0.048314606741573,0.0797752808988764,-0.5335270177797365
1291144720,1966684,3277.744549761983,1909.162586989184,20122.532828595977,R,solo,1.0,97.5,1997665,,The Remnant with Jonah Goldberg,0.12961210974456,0.4058656575212866,-0.33707954934693724
1294461271,720142,3576.0867324131927,2061.8611894251057,16033.441794570595,L,solo,1.0,35.0,744368,-0.808,GZERO World with Ian Bremmer,-0.1662447257383966,0.2573839662447257,-0.5185406943644802
1303660358,174206,6317.476955541939,2238.326723547912,16989.79801307345,R,,0.0,39.5,179355,,The Fox News Rundown,0.3526785714285714,0.4151785714285714,0.4004158986641408
1309354521,1357347,5043.509878009616,2368.286199202016,19607.86904514304,L,multi,2.0,81.0,1396288,-0.65,Majority 54,-0.4243792325056433,0.5079006772009029,0.37784319517698367
1314170606,286350,4309.6032905256825,1713.228770239165,15272.942731632997,L,solo,1.0,66.0,289202,,All In with Chris Hayes,-0.5900900900900901,0.6531531531531531,-0.6161106559065321
1314368109,192806,4672.672599937533,1947.960911695493,15902.19069478392,L,solo,1.0,64.5,195233,,The 11th Hour with Ali Velshi,-0.2977777777777777,0.4133333333333333,-0.3145311211666227
1317356120,2408055,4840.627916817238,2543.549944872085,21750.61972832196,R,solo,1.0,115.0,2452707,,The Peter McCormack Show,0.2626262626262626,0.4814814814814814,0.6247581743916192
1317481380,1605967,4889.714187390422,1607.2995793151488,15148.466752153436,L,solo,1.0,87.0,1627677,-0.998,UnJustified,-0.2626427406199021,0.3197389885807504,-0.5423645249773514
1351411911,1436011,3025.513539487829,1407.5702759539238,23903.16570316684,L,multi,2.0,71.0,1466448,,The TPM Show with Josh and Kate,-0.3177041228779305,0.3629749393694422,-0.3947464881541993
1356662668,998803,5409.506095548633,1994.3246946353609,17127.206671848304,L,multi,3.0,45.0,1009255,-0.947,Politically Georgia,-0.0496845425867507,0.1301261829652996,0.016563843155774537
1362265400,1637308,6871.822912855441,2502.532659660308,16289.76265652811,R,solo,1.0,71.5,1661217,1.00725,Timcast News,0.5012615643397813,0.6173254835996635,0.6548701541569785
1364113251,1000545,5390.38237941136,2182.460033042852,22025.103609058075,L,solo,1.0,62.0,1011859,-0.892,The Beat with Ari Melber,-0.4625407166123778,0.5190010857763301,0.561451861984203
1367201919,358706,4983.325554895602,1916.8065866166187,15465.038624259983,L,solo,1.0,64.0,364325,,Deadline: White House,-0.4196642685851319,0.5251798561151079,-0.2910546468756114
1378389941,808833,3724.505679106721,1906.1843905548285,16748.3532189555,R,solo,1.0,80.0,808961,-1.0605,Uncommon Knowledge,0.2541743970315399,0.3580705009276438,-0.5169073000914561
1386375601,783765,8424.931472622036,2977.811031778716,21898.574745679467,R,solo,1.0,46.0,799627,2.394,The Ben Ferguson Podcast,0.7075892857142857,0.765625,1.860532709795148
1408796715,408510,4347.052748063569,2008.4806043167407,18147.427212936997,L,solo,1.0,84.0,435450,-0.466,Runaway Country with Alex Wagner,-0.5539358600583091,0.5947521865889213,-0.16470628348148902
1432118523,1520758,5397.4251169663785,2486.5985038336016,15193.082173171708,L,solo,1.0,71.0,1531405,-1.017,The Damage Report with John Iadarola,-0.615580016934801,0.7324301439458086,0.1603846652009104
1439837349,1669947,4217.6412801093165,1806.2856077023016,20564.58451074555,R,solo,1.0,91.0,1694770,1.226,The Political Orphanage,0.0377588306942752,0.3471376370280146,-0.11702400772365999
1441649707,662453,5121.252212896893,1780.214237441512,17854.76254411848,L,multi,2.0,32.0,669956,-1.02,Straight White American Jesus,-0.4960629921259842,0.5853018372703412,-0.13322297603943709
1447684472,572695,3951.495447793474,2025.7874832846944,19701.023598155563,L,solo,1.0,92.0,589854,-0.99,The Bulwark Podcast,-0.4330218068535825,0.5451713395638629,-0.12164963125926757
1449848509,1724617,3228.8137734979696,1928.112970437636,21619.473465473948,L,multi,2.0,113.0,1725279,1.559,I Don't Speak German,-0.3880778588807786,0.5121654501216545,-0.2066672532013207
1452065072,965994,6641.322712877904,2185.1267418458283,21870.98549902001,R,solo,1.0,51.0,978655,1.3655,Newt's World,0.4427083333333333,0.5104166666666666,0.8790211347677982
1456045551,1232250,4344.115409292092,1762.8250385130923,14875.02821771532,L,solo,1.0,70.0,1246354,,Talking Feds,-0.3330380868024801,0.3737821080602302,-0.609998882085312
1456850698,1412563,7903.579750572222,2294.71856700282,24857.46744372932,R,solo,1.0,76.0,1467738,1.664,The Graham Allen Show,0.6596794081381011,0.7262638717632552,1.543376237976781
1462195742,1136031,4268.844034791936,2006.165240389474,18846.8076633522,L,solo,1.0,66.0,1169772,,The Al Franken Podcast,-0.4887940234791889,0.5506937033084311,-0.12552803756404493
1462703434,1355002,2604.962149196652,1496.9665921767305,16540.792558097004,L,multi,2.0,102.0,1356054,-1.0765,Know Your Enemy,-0.3552361396303901,0.4722792607802875,-1.0928709415474567
1467297559,1450904,5347.2873091886095,2224.148816135333,19896.638456523586,L,multi,3.0,82.0,1475496,-0.425,Hacks On Tap,-0.1557743957027753,0.3079677708146822,0.3904720268706711
1467993804,707552,4533.567525333211,2170.952813495283,17200.42948149164,R,multi,2.0,73.0,717547,1.2265,What the Hell Is Going On,0.4288256227758007,0.5427046263345195,-0.09411688429656302
1471411980,326059,4140.692662259148,2224.2782928261063,19057.384009716214,R,solo,1.0,69.0,326310,,American Thought Leaders,0.4477611940298507,0.5373134328358209,-0.0006323945207580839
1474001390,261649,3266.349406466497,1785.307898444732,16226.05860882194,L,multi,3.0,122.0,262166,-1.007,TRUE ANON TRUTH FEED,-0.2687224669603524,0.3744493392070485,-0.7609733445625708
1476110521,1517607,4567.892386568235,2024.7312129749844,17009.702772286808,L,multi,2.0,81.5,1544313,-1.0075,Useful Idiots with Katie Halper and Aaron Maté,-0.3346938775510204,0.5428571428571428,-0.19576890682749148
1480605295,224621,4187.518596590382,1278.6202518969958,12383.993943388028,L,multi,4.0,11.0,225910,,POLITICO Energy,-0.1492227979274611,0.18860103626943,-1.1806365280810713
1482179882,1027761,3381.696260321816,1618.7281400827248,15437.769677503837,L,solo,1.0,73.0,1047513,1.432,The Mona Charen Show,-0.2145411203814064,0.4219308700834326,-0.9067182021274053
1484862164,1335398,5066.841751318624,2569.7706806256588,20850.171969468716,L,multi,2.0,81.5,1364331,-0.4995,Politics War Room with James Carville & Al Hunt,-0.3435582822085889,0.4948875255623722,0.6223014844889904
1485021241,377364,3376.565084430895,1850.35172673805,24025.69852082278,R,solo,1.0,73.5,378107,,The Reason Interview With Nick Gillespie,0.0178571428571428,0.4107142857142857,-0.006989948443248591
1485186805,1495166,4861.741705798972,2016.627478391137,19861.719588045496,R,solo,1.0,77.5,1504344,0.952,Timothy Gordon Rules for Retrogrades Podcast,0.6149312377210217,0.6974459724950884,0.1261923656784059
1485351658,768135,7498.313038990741,2383.874599526346,21101.975937374093,R,multi,2.0,75.0,826787,0.348,Bannon`s War Room,0.7160278745644599,0.8066202090592335,1.1650427443351925
1490993194,1416854,4416.881250531565,1769.8136173991584,18454.208674158675,R,multi,2.0,86.0,1434715,1.0775,Advisory Opinions,0.0412147505422993,0.2039045553145336,-0.27285393550430553
1493858530,934447,6957.767544445568,4646.391022443965,33983.91632529767,L,solo,1.0,62.0,961854,,Hood Politics with Prop,-0.3170289855072464,0.3858695652173913,3.6052645652041613
1495251160,1032989,5294.139520563877,2303.858385531525,18121.562926175822,R,solo,1.0,65.0,1127665,,John Solomon Reports,0.7072625698324022,0.740782122905028,0.2722361327503365
1495601614,898701,7206.206628993413,3217.974134262265,20153.07472685653,R,solo,1.0,54.0,923734,1.52,Verdict with Ted Cruz,0.7173678532901834,0.749730312837109,1.5411393306248833
1506127536,810838,4872.59284876929,3116.588712332424,23239.205810002823,R,solo,1.0,104.0,817789,1.665,Making the Argument with Nick Freitas,0.6845878136200717,0.7562724014336918,1.1318771524130053
1507444393,386277,7819.147144696113,4622.1518557133,16532.04618542099,R,,0.0,118.0,409800,,X22 Report,0.8768472906403941,0.896551724137931,2.2878912116154737
1509826894,541622,4421.009608816326,2448.693986977154,18892.3652498643,R,multi,3.0,71.0,542062,0.1149999999999999,RealClearPolitics Podcast,0.2469733656174334,0.3535108958837772,0.20296018094182613
1510240831,823164,7628.634977345886,2088.113262707859,20353.25704958032,L,multi,3.0,27.0,851855,-0.995,The MeidasTouch Podcast,-0.5768261964735516,0.6952141057934509,0.9436751460786245
1515399733,949234,4769.091345559961,2230.64432865187,16145.204465446932,L,solo,1.0,59.5,970023,-1.072,No Lie with Brian Tyler Cohen,-0.7346733668341708,0.7809045226130653,-0.08616577941310677
1517313007,175991,4640.28370023243,2084.30744191052,17110.504310223278,R,solo,1.0,92.5,182422,1.132,The Hugh Hewitt Show: Highly Concentrated,0.5922330097087378,0.6310679611650486,-0.1295877212310872
1529346075,1406757,4171.706085661322,2142.7506593535963,20974.442410300064,L,solo,1.0,110.0,1427820,-0.872,Impolitic with John Heilemann,-0.3071786310517529,0.3806343906510851,0.12304334684930907
1531192509,292650,3810.012613581477,2000.63540057464,18322.64686542973,L,solo,1.0,102.5,292822,,Bad Faith,-0.5654761904761905,0.6845238095238095,-0.29579634190527937
1535255041,990456,5544.813703690819,1810.1441406131364,13147.124051420617,L,solo,1.0,67.0,1000378,,Unf*cking The Republic,-0.5471956224350205,0.612859097127223,-0.4148027965825154
1535384390,1587501,5397.382842414514,2781.898805855949,21799.806311842687,R,multi,4.0,107.0,1596402,0.015,Ruthless Podcast,0.6209476309226932,0.6957605985037406,0.9288502530015211
1536169792,1267365,4136.455199781256,2142.5466006166166,22260.314605019525,L,solo,1.0,88.0,1272151,,Talkin‘ Politics & Religion Without Killin‘ Each Other,-0.1913183279742765,0.342443729903537,0.22625869971237567
