show_id,show,n_eps,hours,med_ep_min
73329719,KQED's Forum,28,25.89,55.7
1502568407,SGT Report’s The Propaganda Antidote,28,25.69,57.7
1432118523,The Damage Report with John Iadarola,28,25.61,55.2
1467993804,What the Hell Is Going On,28,25.25,53.6
1471411980,American Thought Leaders,28,25.09,51.6
1485021241,The Reason Interview With Nick Gillespie,28,25.78,52.8
158004641,Political Gabfest,28,25.33,60.3
1679657705,Main Justice,28,25.04,53.6
1750591415,Candace,28,25.55,53.8
1482179882,The Mona Charen Show,27,25.43,55.8
1147092464,Opening Arguments,26,25.38,53.3
474763182,The Globalist,26,25.69,58.9
1447684472,The Bulwark Podcast,26,25.28,56.3
791564318,Jacobin Radio,26,26.55,53.4
1351411911,The TPM Show with Josh and Kate,25,25.12,61.2
1476110521,Useful Idiots with Katie Halper and Aaron Maté,25,25.06,60.6
402050558,The David Pakman Show,25,25.74,66.0
1709994511,UNGOVERNED,25,25.51,58.8
1889705401,Nobody Knows Anything,25,25.82,59.5
1640311112,The Necessary Conversation,25,25.01,62.3
1570045623,Breaking Points with Krystal and Saagar,25,25.26,53.0
1484862164,Politics War Room with James Carville & Al Hunt,25,26.13,65.8
1317481380,UnJustified,24,25.61,63.8
1467297559,Hacks On Tap,24,25.74,64.9
1548554104,Volts,24,25.43,64.7
1289062927,ChinaTalk,24,26.14,66.2
1869456664,What's The Plan? with Leah Greenberg and Ezra Levin,24,25.76,64.8
1378389941,Uncommon Knowledge,24,26.03,65.0
925428680,Conversations with Bill Kristol,23,25.57,68.4
1462703434,Know Your Enemy,23,25.74,70.5
1408796715,Runaway Country with Alex Wagner,23,25.59,65.4
1490993194,Advisory Opinions,23,25.11,66.0
1309354521,Majority 54,23,25.26,66.1
1607829807,Mark Kaye Saves The Republic,23,25.25,68.9
1714009198,Mea Culpa,22,25.55,69.9
1536169792,Talkin‘ Politics & Religion Without Killin‘ Each Other,22,25.57,71.9
1800671132,Destiny,22,26.14,57.0
1810218232,Next Up with Mark Halperin,22,25.48,69.2
1517313007,The Hugh Hewitt Show: Highly Concentrated,22,25.01,67.8
380996798,"The Bob Cesca Show | Politics Podcast, News & Commentary",22,25.29,67.8
1291144720,The Remnant with Jonah Goldberg,22,25.38,69.1
1612691018,THE WEEKEND SHOW,22,25.87,70.8
1449848509,I Don't Speak German,22,26.68,76.8
1648125917,Stay Free with Russell Brand,22,25.26,64.8
1155629323,The Reason Roundtable,22,25.03,68.3
1570380458,The Victor Davis Hanson Show,21,25.68,75.2
1529346075,Impolitic with John Heilemann,21,25.87,72.4
1456850698,The Graham Allen Show,21,28.2,72.0
1474001390,TRUE ANON TRUTH FEED,21,25.82,94.6
1439837349,The Political Orphanage,21,25.08,72.0
506779862,Lectures in History,21,25.36,69.4
1192761536,Pod Save America,21,26.04,77.2
1714879044,The Tony Kinnett Cast,21,25.6,67.7
1587492577,The Mel K Show,20,25.74,86.9
