show_id,n,r_cyn,r_excl,show,dir_z,imper_syn,imper_rx,you_rx,lean,solo,n_hosts,ep_len,avg_host_cfscore,side,inten,elite_rate,people_rate,mediacrit_rate,populist_rate,rp_rate,pc_rate,antimedia_rate,horse_rate,strat_rate,game_rate,D4_biber,VIMP,PP2,you_deontic_rate,you_know_rate,imp_attention_rate,imp_action_rate,imp_epistemic_rate,you_addressive_rate,share_political,you_declar,nw,episodes,passages,imper_syn_z,imper_rx_z,you_rx_z,fmt_pos,you_declar_z,dir_z_declar,interview,multi,right
1192761536,61,-0.03670538170580328,-0.10228256523483285,Pod Save America,-0.1214713857681722,4607.970427143058,2136.903335907084,16914.33670648471,L,multi,4.0,104.0,-0.975875,-0.515713134568896,0.5495568090249798,1.5590586798945112,5.476468095291423,0.7861169118341337,7.035526775185934,8.252031716962778,15.085539620951112,0.645195574030035,36.53906539921784,17.32970577708096,53.8687711762988,0.0484344904577873,2.141913586181164,16.10909472684972,15.747183676765502,38.22393302736241,8.748435375980835,25.033984306652847,5.787426479495013,2.5572349560559364,0.4750888706590101,,,,,,,,,,,0.0,1.0,0.0
1314170606,6,0.2143721659460728,0.05786076073268435,All In with Chris Hayes,-0.6161106559065321,4309.6032905256825,1713.228770239165,15272.942731632997,L,solo,1.0,66.0,,-0.5900900900900901,0.6531531531531531,1.313960484367328,9.85470363275496,0.7607139646337162,11.168664117122288,9.3360350205047,18.879537485909506,0.6035919530293705,24.239113145828867,11.479865284472444,35.71897843030131,-0.4192326580970166,1.6878922088225965,13.731270723579817,8.742333383419618,30.051771005504936,6.14695316021692,20.3532449082738,3.414973977898289,4.507765650825741,0.510539629005059,,,,,,,,,,,0.0,0.0,0.0
1362265400,31,-0.015714672179579222,0.053430517078025715,Timcast News,0.6548701541569785,6871.822912855441,2502.532659660308,16289.76265652811,R,solo,1.0,71.5,1.00725,0.5012615643397813,0.6173254835996635,3.665987044437903,5.670541536716756,3.473357183318013,9.33652858115466,9.270312066394698,8.981367274714863,1.8680461372596115,28.406884832023756,9.775965451834407,38.18285028385816,-0.0868414895738047,2.21668113792496,10.800151846045448,20.48882367714901,25.64407608623812,12.293294206289408,35.95458090441633,4.626508572259454,8.195529470859606,0.3695207812854871,,,,,,,,,,,0.0,0.0,1.0
1447684472,25,0.13175413626373847,-0.011186619206851852,The Bulwark Podcast,-0.1216496312592675,3951.495447793474,2025.7874832846944,19701.023598155563,L,solo,1.0,92.0,-0.99,-0.4330218068535825,0.5451713395638629,1.695334777758564,5.001237594387764,0.7968073455465251,6.696572372146328,8.20542032435145,8.917460931010046,0.3238937092907736,23.53124671528887,12.68110413763406,36.21235085292293,-0.9661766320231586,1.1236013268939946,17.878301058588224,15.435589679445384,57.48426501310694,6.786336841825125,21.556599379915102,2.528243137150537,2.395177708879456,0.3569145535904539,,,,,,,,,,,0.0,0.0,0.0
1507444393,5,1.3604541284458282,0.3372345376142149,X22 Report,2.2878912116154737,7819.147144696113,4622.1518557133,16532.04618542099,R,,0.0,118.0,,0.8768472906403941,0.896551724137931,26.964372864812105,23.01122498779893,7.44265495363592,49.97559785261103,14.250854075158614,25.98828696925329,0.8873108833577356,16.983894582723277,8.760370912640312,25.74426549536359,0.1893451730590666,5.693212189880836,19.72152899003712,21.869575320184254,11.618211888847885,11.071472505843278,33.487787209032135,30.34403575675565,2.8703817607741837,0.4326723882805564,,,,,,,,,,,0.0,0.0,1.0
1509826894,6,-0.5872144397427986,-0.3290123853522362,RealClearPolitics Podcast,0.2029601809418261,4421.009608816326,2448.693986977154,18892.3652498643,R,multi,3.0,71.0,0.1149999999999999,0.2469733656174334,0.3535108958837772,1.973943939992104,4.612018551383421,1.180676749154156,6.585962491375525,5.977176042592913,11.732975194719424,0.6974663414886121,48.31550634429272,11.456254081636418,59.77176042592913,0.0815719531240215,1.6680311383224722,16.372827370191295,14.846090983383275,86.4886951784255,12.394442931081448,21.9286298011441,3.2688640697357667,1.7706347044402069,0.4730403262347077,,,,,,,,,,,0.0,1.0,1.0
1510240831,134,0.20046792586021778,0.07955336316492129,The MeidasTouch Podcast,0.9436751460786243,7628.634977345886,2088.113262707859,20353.25704958032,L,multi,3.0,27.0,-0.995,-0.5768261964735516,0.6952141057934509,1.1856477921712028,6.820409576747216,2.4534691937008057,8.00605736891842,8.804315288400021,10.271701169800023,0.6624836386474223,19.040799197046447,9.837354948905624,28.87815414595207,-0.6454327331373191,2.6410590198535715,18.48559408570235,21.62834394473958,40.282790597077465,13.382537815807616,41.364207794314446,7.164388931694987,5.001554537221028,0.4121562952243126,,,,,,,,,,,0.0,1.0,0.0
1538788132,14,-0.18633325193917713,-0.203610186405267,Tangle,-1.012851422478337,4400.377786379581,1355.3789471447049,13096.483182528787,L,solo,1.0,49.0,,-0.0770252324037184,0.3452855245683931,1.3628072856650926,2.8959654820383216,0.8639224757341211,4.258772767703414,9.44230762210814,10.500916852937277,0.7857557435634734,25.05375179628951,14.114789744388458,39.16854154067797,1.1297372097362413,2.4906286952844154,6.8707417212941415,12.48421938560808,27.07252069013887,6.592790012624492,19.21728152616075,3.3665310702763365,1.6832655351381682,0.3930694504857184,,,,,,,,,,,0.0,0.0,0.0
1551582052,6,0.17214973309890916,0.3437951738314515,The Lincoln Project,0.2618793005063222,4820.377776448838,2107.778568028766,20866.306063751297,L,solo,1.0,66.0,,-0.4709219858156028,0.5815602836879432,1.9633990523858784,5.710800289426946,0.8571183680466272,7.674199341812825,7.126042245969052,10.97310840952717,0.299602735602903,21.13893091426624,10.903342960965237,32.04227387523147,-0.7377735523115408,1.4923145680819911,16.20987262079063,22.07059900143997,49.524270930060425,7.670878921232186,27.72282557497948,2.960690109949265,2.4223828172312163,0.3315587470595518,,,,,,,,,,,0.0,0.0,0.0
1570045623,21,0.24447233325164225,0.20095600229467106,Breaking Points with Krystal and Saagar,0.5469606271813514,5657.961349053648,2608.388820321538,17929.744231386365,L,multi,2.0,115.0,-0.9107,-0.1682758620689655,0.4855172413793103,3.014665460800482,4.623331484000739,1.9696658788003152,7.637996944801221,9.480996207601518,9.30999627600149,0.8136366745453301,27.70198891920443,13.331661334002137,41.03365025320657,0.0116875569452555,2.4341110776218,14.81957380677126,18.067578135533804,43.01162257638271,13.483267265323732,37.21381765229351,4.1798128522503575,1.617992071838848,0.3095145023844891,,,,,,,,,,,0.0,1.0,0.0
