show_id,nw,passages,ruling_rate,politician_rate,corrupt_rate,shame_rate,truth_rate,betray_rate,establishment_rate,consensus_rate,propaganda_rate,elite_rate,referendum_rate,scandal_rate,dishonest_rate,deceive_rate,undemocratic_rate,deceit_rate
75462585,72909,600,0.41147183475291116,0.5486291130038815,0.27431455650194075,0.27431455650194075,2.194516452015526,0.13715727825097038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78911087,72087,600,0.5548850694299944,0.4161638020724957,0.97104887150249,0.1387212673574986,1.1097701388599888,0.0,0.97104887150249,0.6936063367874928,0.4161638020724957,0.2774425347149972,0.0,0.0,0.0,0.0,0.0,0.0
91959525,72635,600,0.41302402423074275,1.1013973979486473,0.6883733737179046,0.13767467474358092,1.3767467474358093,0.27534934948716183,0.8260480484614855,0.0,0.0,0.41302402423074275,0.13767467474358092,0.13767467474358092,0.0,0.0,0.0,0.0
402050558,74777,600,0.26746192010912445,1.3373096005456222,1.3373096005456222,0.4011928801636867,3.7444668815277424,0.0,0.13373096005456223,0.0,0.8023857603273734,0.4011928801636867,0.0,0.26746192010912445,0.26746192010912445,0.13373096005456223,0.0,0.0
402306412,72729,600,1.099973875620454,1.9249542823357946,1.787457547883238,0.2749934689051135,1.099973875620454,0.4124902033576702,4.262398768029259,0.2749934689051135,0.0,1.5124640789781243,0.0,0.13749673445255675,0.13749673445255675,0.0,0.2749934689051135,0.0
597919007,74652,600,0.6697744199753523,3.080962331886621,4.152601403847184,0.26790976799014093,1.3395488399507045,0.13395488399507047,1.2055939559556341,0.0,1.3395488399507045,0.5358195359802819,0.0,0.0,0.0,0.0,0.0,0.0
929121341,76590,600,0.0,1.0445227836532185,1.1750881316098707,0.6528267397832616,3.003003003003003,0.0,0.1305653479566523,0.2611306959133046,1.8279148713931324,0.3916960438699569,0.0,0.5222613918266092,0.3916960438699569,0.0,0.0,0.0
969924303,73221,600,0.8194370467488836,0.4097185233744418,1.2291555701233252,0.4097185233744418,2.0485926168722086,0.0,0.1365728411248139,0.2731456822496278,0.5462913644992556,0.4097185233744418,0.1365728411248139,0.4097185233744418,0.2731456822496278,0.0,0.0,0.0
1057255460,73565,600,0.40780262353021135,2.1749473254944607,0.2718684156868076,0.1359342078434038,0.40780262353021135,0.1359342078434038,1.0874736627472303,0.1359342078434038,0.0,0.1359342078434038,0.0,0.5437368313736152,0.0,0.0,0.0,0.0
1155629323,73941,600,0.4057288919543961,0.9467007478935908,1.352429639847987,0.4057288919543961,0.8114577839087922,0.0,0.5409718559391948,0.1352429639847987,0.0,0.0,0.0,0.1352429639847987,0.0,0.0,0.0,0.0
1192761536,73668,600,0.5429765977086388,1.6289297931259161,1.3574414942715969,0.5429765977086388,1.0859531954172776,0.0,0.0,0.0,0.9502090459901178,0.2714882988543194,0.0,0.2714882988543194,0.0,0.0,0.1357441494271597,0.0
1200016351,73474,600,0.0,2.7220513378882325,4.083077006832349,0.0,1.088820535155293,0.0,0.40830770068323485,0.13610256689441164,0.2722051337888233,0.40830770068323485,0.0,0.2722051337888233,0.13610256689441164,0.0,0.0,0.0
1253076699,76817,600,0.0,0.6508975877735398,1.4319746931017874,1.0414361404376635,2.213051798430035,0.0,0.13017951755470794,0.0,0.13017951755470794,0.5207180702188318,0.0,0.0,0.0,0.0,0.0,0.0
1314170606,73001,600,1.506828673579814,0.5479376994835687,2.328735222805167,0.0,1.506828673579814,0.6849221243544609,0.6849221243544609,0.0,0.13698442487089219,0.13698442487089219,0.13698442487089219,2.191750797934275,0.0,0.13698442487089219,0.0,0.0
