show,extracted_host,match_confidence,is_candidate,candidate_cfscore,is_donor,donor_cfscore,donor_n_donations,donor_occupation_employer,notes
The Harry Sisson Show,Harry Sisson,ambiguous,False,,True,,,"3 distinct same-name donors, 0 media-flagged","3 same-name donors in DIME, none uniquely media-flagged"
Hope For America with Heather Delaney Reese,Heather Delaney Reese,ambiguous,False,,True,,,"11 distinct same-name donors, 0 media-flagged","11 same-name donors in DIME, none uniquely media-flagged"
Paul Krugman Podcast,Paul Krugman,low_no_disambiguation,False,,True,-0.828,6,,
The Kyle Kulinski Show,Kyle Kulinski,low_no_disambiguation,False,,True,-0.943,4,self,
Sidebar with Katie Phang,Katie Phang,ambiguous,False,,True,,,"2 distinct same-name donors, 0 media-flagged","2 same-name donors in DIME, none uniquely media-flagged"
Brian Tyler Cohen,Brian Tyler Cohen,ambiguous,False,,True,,,"138 distinct same-name donors, 3 media-flagged","138 same-name donors in DIME, none uniquely media-flagged"
Brian Kilmeade Show,Brian Kilmeade,low_no_disambiguation,False,,True,1.659,2,,
"The Bob Cesca Show | Politics Podcast, News & Commentary",Bob Cesca,ambiguous,False,,True,,,"2 distinct same-name donors, 0 media-flagged","2 same-name donors in DIME, none uniquely media-flagged"
The David Pakman Show,David Pakman,ambiguous,False,,True,,,"3 distinct same-name donors, 0 media-flagged","3 same-name donors in DIME, none uniquely media-flagged"
The Majority Report with Sam Seder,Sam Seder,no_match,False,,False,,,,
Scott Horton Show - Just the Interviews,Scott Horton,high,False,,True,1.125,4,radio host / self,
The Tom Woods Show,Tom Woods,ambiguous,True,,True,,,"53 distinct same-name donors, 0 media-flagged","4 same-name candidates in DIME; 53 same-name donors in DIME, none uniquely media-flagged"
The Brian Lehrer Show,Brian Lehrer,ambiguous,False,,True,,,"4 distinct same-name donors, 0 media-flagged","4 same-name donors in DIME, none uniquely media-flagged"
NBC Nightly News with Tom Llamas,Tom Llamas,no_match,False,,False,,,,
Face the Nation with Margaret Brennan,Margaret Brennan,ambiguous,False,,True,,,"89 distinct same-name donors, 2 media-flagged","89 same-name donors in DIME, none uniquely media-flagged"
This Week with George Stephanopoulos,George Stephanopoulos,ambiguous,False,,True,,,"4 distinct same-name donors, 0 media-flagged","4 same-name donors in DIME, none uniquely media-flagged"
Conversations with Bill Kristol,Bill Kristol,no_match,False,,False,,,,
