show_id,insult,namecall,emotlang,sparring,character,exaggeration,mockery,conflagration,extremize,slippery,belittle,obscene,any,n_types,passages
1043245989,0.01692085049538016,0.010971340927925588,0.29889173376872363,0.0036550521355152325,0.059006518485534405,0.11084517669177582,0.029308446819300654,0.043916286318601803,0.08552574616250448,0.01765680853958712,0.08456714534862148,0.008998478607740546,0.44775316338268584,0.7702635843012109,1400.0
1050430296,0.022452444674666897,0.011298166853722409,0.17533741978186423,0.018855218855218854,0.05114391781058448,0.06683357794468905,0.05626636737747849,0.03388874499985611,0.036179458401680624,0.01236294569627903,0.08090016978905867,0.011142766698322254,0.3439293217070995,0.5766611988834212,1400.0
1057255460,0.005647843094894566,0.008610646029921223,0.2064548982693836,0.010570416721319064,0.04161812247795258,0.05854622049734968,0.03280686999930559,0.04835386977555225,0.036656970688311585,0.01229100280077465,0.05125494764943252,0.0019134768955380496,0.35528945195861333,0.5147252848997353,1080.0
1060110806,0.037112832854219305,0.022733410551711308,0.29945927130657096,0.009788329622450144,0.09545271774682375,0.11389510703547444,0.04921771381588818,0.05607134498010526,0.0676360973911791,0.027000426101412137,0.1297628835662888,0.012380946665306343,0.5101874246070565,0.9205110816374297,1400.0
1072469956,0.20038930819486292,0.08634885594105188,0.348617284687211,0.05761313803287491,0.19197667134035382,0.26812296769189464,0.3907848811192984,0.07481877032308105,0.09913188747352406,0.028698427851197757,0.42852987679365173,0.04845470003878166,0.8491915515646908,2.2234867694877836,1040.0
1093260018,0.00946456913453459,0.00795910745962095,0.23192278965549434,0.007031322939034637,0.05623307814396415,0.09298268135561573,0.05866048921669312,0.046850200728223323,0.038091681448977684,0.024414153673793296,0.10467626738866585,0.009943049201755205,0.4169837083372234,0.6882293903463729,1400.0
1111319839,0.028350500591476962,0.013803052598170749,0.22424189965088434,0.03974725179607028,0.05757811823768718,0.08917164372890159,0.08072939207709397,0.04080325456591362,0.040618598343864505,0.011887244294411264,0.12395625955740212,0.01409157794512248,0.47220058282120086,0.764978793386999,1400.0
1112258664,0.006850505963765344,0.0017665264109608095,0.20897868345098586,0.011211183364050492,0.026532670306360192,0.06490941336022533,0.01785999930451716,0.024195847967451403,0.03932955454324165,0.02206071565184129,0.05208470980978545,0.0,0.3281427130785548,0.475779810133185,1240.0
1138657182,0.14690626011574384,0.09259507812314956,0.40918529279403754,0.07200435815852012,0.15601733789150396,0.2909623477210463,0.13295541572253058,0.12173631561910327,0.16004389739378963,0.08368138071514855,0.24353579295588942,0.1812583393205378,0.8071909615581996,2.0908818165310006,1040.0
1147092464,0.08689146798689783,0.06014985470910047,0.18987758591804785,0.03708239698210871,0.07621561978267023,0.09629638188109832,0.22998711734767563,0.025499563838452696,0.032304839371234136,0.012484041108947956,0.259553670978215,0.03629672849954651,0.5829313522163361,1.1426392684039954,1400.0
1155629323,0.10126496955535084,0.038061428539330894,0.2680027860785944,0.04069022850338149,0.08086368436425731,0.1781742197856517,0.20417013054126318,0.04495921989799358,0.05868739748803559,0.029411103871301143,0.3112544094187431,0.042083267800570694,0.7221560653380367,1.397622845844474,360.0
