show_id,show,publisher,hours,host,n_hosts,n_hosts_scored,coverage,avg_host_cfscore,host_cfscore_detail
1579061364,Head in the Office,HITO Media LLC,25.3,Jeremy Johnson,1.0,1.0,full,-0.997,Jeremy Johnson=-0.997
1493858530,Hood Politics with Prop,Cool Zone Media and iHeartPodcasts,25.74,Jason Petty,1.0,0.0,none,,Jason Petty=NA
1874174561,Hope For America with Heather Delaney Reese,Heather Delaney Reese,25.25,Heather Delaney Reese,1.0,0.0,none,,Heather Delaney Reese=NA
1585243541,Human Events Daily with Jack Posobiec,Human Events with Jack Posobiec,25.12,Jack Posobiec,1.0,0.0,none,,Jack Posobiec=NA
1449848509,I Don't Speak German,IDSG,26.68,Daniel Harper and Jack Graham,2.0,1.0,partial,1.559,Daniel Harper=1.559; Jack Graham=NA
1529346075,Impolitic with John Heilemann,Audacy | Puck,25.87,John Heilemann,1.0,1.0,full,-0.872,John Heilemann=-0.872
1788891712,It's A Numbers Game with Ryan Girdusky,iHeartPodcasts,25.22,Ryan Girdusky,1.0,1.0,full,1.2223333333333333,Ryan Girdusky=1.222
791564318,Jacobin Radio,Jacobin,26.55,"Suzi Weissman, Alan Minsky, and Meleiza Figueroa",3.0,3.0,full,-1.0566666666666666,Suzi Weissman=-0.994; Alan Minsky=-1.020; Meleiza Figueroa=-1.156
1495251160,John Solomon Reports,John Solomon,25.73,John Solomon,1.0,0.0,none,,John Solomon=NA
1462703434,Know Your Enemy,Matthew Sitman,25.74,Matthew Sitman and Sam Adler-Bell,2.0,2.0,full,-1.0765,Matthew Sitman=-1.108; Sam Adler-Bell=-1.045
73329719,KQED's Forum,KQED,25.89,Mina Kim and Alexis Madrigal,2.0,1.0,partial,-1.056,Mina Kim=NA; Alexis Madrigal=-1.056
506779862,Lectures in History,C-SPAN,25.36,,0.0,0.0,no_host_listed,,
1730358737,Letters from an American,Heather Cox Richardson,25.15,Heather Cox Richardson,1.0,1.0,full,-1.058,Heather Cox Richardson=-1.058
1138657182,Liberty Lockdown,Clint Russell,25.58,Clint Russell,1.0,0.0,none,,Clint Russell=NA
1818658022,"Life, Liberty & Levin Podcast",FOX News Podcasts,25.14,Mark Levin,1.0,1.0,full,-0.904,Mark Levin=-0.904
929121341,Louder with Crowder,Louder with Crowder,25.79,Steven Crowder,1.0,1.0,full,0.904,Steven Crowder=0.904
1671451793,Maiden Mother Matriarch with Louise Perry,Louise Perry,26.44,Louise Perry,1.0,0.0,none,,Louise Perry=NA
1679657705,Main Justice,"MS NOW, Andrew Weissmann, Mary McCord",25.04,Andrew Weissmann and Mary McCord,2.0,2.0,full,-0.8458333333333333,Andrew Weissmann=-0.721; Mary McCord=-0.971
1309354521,Majority 54,Majority 54,25.26,Jason Kander and Ravi Gupta,2.0,1.0,partial,-0.65,Jason Kander=-0.650; Ravi Gupta=NA
1506127536,Making the Argument with Nick Freitas,Nick Freitas,27.54,Nick Freitas,1.0,1.0,full,1.665,Nick Freitas=1.665
