show,extracted_host,host_source,match_confidence,publisher,notes
TRUE ANON TRUTH FEED,,PUBLISHER_ONLY,none,TrueAnon,publisher-only fields: TrueAnon
Making the Argument with Nick Freitas,Nick Freitas,ITUNES_AUTHOR,high,Nick Freitas,
The Warning with Steve Schmidt,Steve Schmidt,PARSED_FROM_TITLE,medium,iHeartPodcasts,
Politics Chat,Heather Cox Richardson,ITUNES_AUTHOR,high,Heather Cox Richardson,
Main Justice,Andrew Weissmann,ITUNES_AUTHOR,high,"MS NOW, Andrew Weissmann, Mary McCord",
Main Justice,Mary McCord,ITUNES_AUTHOR,high,"MS NOW, Andrew Weissmann, Mary McCord",
Liberty Lockdown,Clint Russell,ITUNES_AUTHOR,high,Clint Russell,
The Majority Report with Sam Seder,Sam Seder,ITUNES_AUTHOR,high,Sam Seder,
The Beat with Ari Melber,Ari Melber,ITUNES_AUTHOR,high,"Ari Melber, MS NOW",
Renegade Talk Radio,,PUBLISHER_ONLY,none,Renegade Talk Radio,publisher-only fields: Renegade Talk Radio
The PoliticsGirl Podcast,Leigh McGowan,ITUNES_AUTHOR,high,"Meidas Media Network, Leigh McGowan",
Hacks On Tap,David Axelrod,ITUNES_OWNER,high,Vox Media,
Hacks On Tap,Mike Murphy,ITUNES_OWNER,high,Vox Media,
THE DAILY BLAST with Greg Sargent,Greg Sargent,ITUNES_AUTHOR,high,Greg Sargent,
Politics War Room with James Carville & Al Hunt,James Carville,PARSED_FROM_TITLE,medium,Politicon,
Politics War Room with James Carville & Al Hunt,Al Hunt,PARSED_FROM_TITLE,medium,Politicon,
Newt's World,,UNKNOWN,none,Gingrich 360,
The 47 Morning Update with Ben Ferguson,Ben Ferguson,PARSED_FROM_TITLE,medium,Premiere Networks,
Know Your Enemy,Matthew Sitman,ITUNES_AUTHOR,high,Matthew Sitman,
Sidebar with Katie Phang,Katie Phang,ITUNES_AUTHOR,high,Katie Phang,
The Benny Show,Benny Johnson,ITUNES_AUTHOR,high,Benny Johnson,
The Hugh Hewitt Show: Highly Concentrated,Marcus Brown,ITUNES_OWNER,medium,Salem Podcast Network,"owner value 'Marcus Brown' repeats across 2 shows in corpus -- likely a shared feed admin/producer contact, not verified as this show's host"
Straight White American Jesus,Bradley Onishi,ITUNES_AUTHOR,high,Bradley Onishi + Daniel Miller,
