review_id,show_id,rating,n_cats,connection,companionship,direct_address,emotion,loyalty,praise_person,praise_content,agreement,anti_media,hostility,disagreement
13903474806,1356662668,5,1,0,0,0,0,0,0,1,0,0,0,0
6814475342,1452065072,5,2,0,0,1,0,0,0,1,0,0,0,0
14507913686,1750591415,1,1,0,0,0,0,0,0,0,0,0,1,0
10357530574,1695205478,5,2,0,0,0,1,0,0,1,0,0,0,0
12959428643,1674095262,5,3,0,1,0,0,1,0,1,0,0,0,0
10600105050,1645614328,5,2,0,0,1,0,0,1,0,0,0,0,0
10480590369,1679657705,5,5,0,0,1,1,0,1,0,1,1,0,0
7731309818,1195206601,1,5,0,0,1,1,1,0,0,0,0,1,1
13487785335,1506127536,1,4,0,0,1,0,0,0,1,0,0,1,1
11041593517,929121341,1,2,0,0,0,0,0,0,0,0,0,1,1
13762480754,1495601614,1,3,0,0,0,0,0,0,0,1,0,1,1
12454024407,1551206847,2,2,0,0,0,0,0,0,0,0,0,1,1
2752672896,1111319839,1,2,0,0,0,0,0,1,1,0,0,0,0
9333018100,969924303,1,2,0,0,0,0,0,0,0,0,0,1,1
1692506311,124960485,5,2,0,0,0,0,0,0,1,0,1,0,0
12575397723,1654162813,5,2,0,0,0,0,0,0,1,1,0,0,0
11347548547,73329719,1,2,0,0,0,0,0,0,0,0,0,1,1
10759746305,1654162813,5,3,0,0,1,1,0,0,0,1,0,0,0
8731256071,1317356120,1,1,0,0,0,0,0,0,0,0,0,1,0
11251255817,1692806415,5,3,0,0,1,0,1,0,1,0,0,0,0
9920354154,1536984072,5,2,0,0,0,0,0,0,0,0,0,1,1
14112025406,1057255460,4,1,0,0,1,0,0,0,0,0,0,0,0
8052014026,1476110521,1,3,0,0,0,0,1,0,0,0,0,1,1
14419946379,1192761536,1,1,0,0,0,0,0,0,0,1,0,0,0
12363218667,158004641,1,1,0,0,0,0,0,0,0,0,0,1,0
9575807992,1432118523,5,1,0,0,0,0,0,0,1,0,0,0,0
12754774677,73331636,5,2,0,0,0,0,0,1,0,1,0,0,0
12656569244,1506127536,5,3,0,0,0,1,0,1,1,0,0,0,0
14308200660,1750591415,5,4,0,0,0,1,1,1,0,1,0,0,0
6598734359,78911087,1,2,0,0,0,0,0,0,1,0,0,1,0
